layer,unit,explanation,AUC,U1,p,MAD
0,6314,"Physical exertion and its effects, including both the process of working out and its physiological impact on the body, are evident. Furthermore, the texts frequently express an awareness of health and fitness through the utilization of terminology around physical exercises, and the overall process, along with elements of diet or lifestyle adjustments necessary to achieve fitness goals. Finally, there's the mention of emotional and psychological aspects, focusing on feelings related to maintaining physical well-being.",0.8944,1056.0,1.7365476685503706e-05,1.407198235980751
0,2725,"The neuron activates when the text discusses individuals that are considered to be in charge of an organization that is involved with education, especially regarding requirements for attaining a specific position, as well as the process of evaluation of the individuals under their care.",0.9267,733.0,3.3480962542557217e-06,1.5920810120096591
0,4297,"Financial data or financial reporting, including values, balance sheets, and related accounting principles.",0.9779,221.0,1.9292385371945532e-07,7.699227774214724
0,4842,"Associations with data analysis, business operations, and consumer behavior; also, with the utilization of different methodologies, tools and strategies, including the examination of social media and marketing.",0.30600000000000005,6940.0,0.03459854747192395,-0.6242806224712464
0,5551,"The activation is triggered by the discussion of official and legal processes, including topics like international trade regulations, compliance with governmental standards, and adherence to established legal frameworks. Also, the pattern involves references to specific entities such as countries or organizations. Additionally, the activation occurs when addressing a change or update in official documentation.",0.715,2850.0,0.019190249109750368,4.141601966048215
0,1749,"Focus on actions and events that describe a trajectory, either of a physical or metaphorical kind, which is influenced by external factors or a specific kind of leadership, and includes the concept of changing existing conditions or situations to alter their course, resulting in new conditions or states",0.47909999999999997,5209.0,0.8203037043072381,0.059556251036795946
0,3943,"Experiences and aspects related to medical treatments, health care settings, and corrective procedures, also including assessments of those procedures.",0.9517,483.0,8.62843104966668e-07,2.0526424785563244
0,5960,"The neuron activates in response to the presentation of artistic content, including music, film, creative endeavors, and publishing, specifically in relation to promotional and professional contexts, such as trade fairs or festivals, and also features discussions involving innovative works, and their promotion across various types of media and events",0.8261000000000001,1739.0,0.00038200252006622033,0.8785027732677094
0,3696,"The neuron activates in response to contexts involving questions or statements. These sentences often take the form of direct questions using ""why"" or ""what"" to inquire about specific concepts, like the function or nature of objects, or to prompt an explanation or reason for a phenomenon.",0.0025000000000000022,9975.0,5.974401278504218e-08,-1.4733208878284747
0,3533,"Numerical identifiers that are related to dates, quantities, or product models along with elements of the postal system, or products for industrial or scientific purposes.",0.9790000000000001,210.0,1.808519989120166e-07,3.2763001391050053
0,3124,"Investigation of cellular or molecular processes and their expression patterns, often involving the identification of regulatory elements, such as those related to transcription factors, promoter regions, and the gene's expression, particularly when analyzing the influence of external factors like light, cellular stress, or exposure to substances, and often uses data from different biological data like gene expression, or related profiles and datasets, with the objective of understanding biological and molecular mechanisms",0.9823,177.0,1.488581420672583e-07,2.7104900022453333
0,1149,"Actions or processes related to communication, involving asking or delivering messages, are present; also there is a focus on the creation of something such as a cake.",0.0001000000000000001,9999.0,5.159830430437887e-08,-2.6595658841383196
0,6114,"Numeric values or ranges related to health or finances, such as cholesterol levels, measurements from a study or a report, or debt amounts, are present. These figures are often compared against a specific standard, such as a threshold representing a safe or dangerous level or a date.",0.5403,4597.0,0.6610155775335211,-0.008259958542774785
0,3279,"Situations involving an individual's personal experiences with faith, forgiveness, and the overcoming of past difficulties are referenced, including feelings of hardship, abuse, or decisions that have led to consequences, all within the context of Christian faith or spirituality, where the narrative emphasizes themes of moving past hardships, seeking divine assistance, and healing.",0.8441,1559.0,0.00017802335441004794,1.0393085904635677
0,440,"A message or text is associated with a company or organization's actions, efforts to support their growth, with an emphasis on its internal affairs and operations. The recurring activation correlates with the discussion of the entity's inner workings, showcasing an understanding of their power, and supporting their own views within the company.",0.8545,1455.0,0.00011263565233704504,1.108271541759474
0,4405,"Legal and financial expertise, consulting, and associated fields such as campaign finance, particularly regarding a professional and public context, are the central focus. It also describes topics involving public policy, as well as new technologies and cryptography.",0.006900000000000007,9931.0,7.802852549033112e-08,-2.3200889285928783
