layer,unit,description,max_activation
0,10698,"Events or activities pertaining to a certain group or organization are frequently mentioned alongside topics related to a country or state that is often described as a republic, political parties, and elections, especially with the use of the term 'Coalition'. It also includes references to individuals such as presidents or heads of state and the concept of sanctions and international relations.",8.25161952972412
0,2725,"The presence of the token <eos>, followed by words that are associated with life forms, like creature and animal, or, more broadly, being related to the natural world. Also, the word ""Okay"" and ""Sorry"" trigger the neuron.",38.96478424072266
0,2696,"The presence of the term, primarily the singular, indicates a discussion centered around a particular substance, often within the context of health and nutrition, the different types, and its impact on the human body. The concept is frequently linked to dietary considerations, weight management, and potential health consequences or benefits.",33.626084899902345
0,2536,Activities related to performance and presentation,56.469766998291014
0,12182,Rest from work and religious practices,4.628116798400879
0,6600,"Flora or plant life, including various species, with references to their parts like flowers, leaves, and the contexts in which they are grown, maintained, and used, such as gardening, landscaping, and herbal applications, sometimes linked to allergies or sensitivities.",43.250605773925784
0,3740,Anatomical or medical procedures or interventions performed inside a bodily structure or space,33.071092987060545
0,2818,"Company-specific or product acronyms within financial, institutional, or industrial contexts, including those related to certificates, retail, schools, or construction, and also those referring to specific operations such as buying or applications",34.14969329833984
0,13502,"References to publications, including botanical and academic journals, with mentions of authors, dates, and cataloging systems, and also descriptions of quilting or medical cases that involve specific details, diagnoses, or symptoms",7.937834930419922
0,13988,"The neuron activates in response to the anticipation of positive outcomes or achievements, often in the context of projects or endeavors, such as cooking, dog training, or construction, where the goal is a satisfactory conclusion, and the word 'results' is used to highlight this.",27.651979064941408
0,3681,"Recurring appearances of a specific name, and possibly others that sound alike, are observed, often in contexts that suggest a professional or formal setting; there are also mentions of locations and, in one instance, involvement with legal or medical procedures. There's a notable tendency for these references to appear in conjunction with medical or scientific concepts like plasma treatment or research. Additionally, in some cases, the same name is connected to legal matters.",21.29569320678711
0,13183,"Conceptualization of software, hardware, and electronic components, often involving data sheets and related technical information, alongside the concept of disorder and its impact on task execution, alongside the concept of functions and operations, frequently in the context of string manipulation, and also locations for events.",12.793826675415039
0,4554,"The integration of computational technology to enhance tasks or systems; the application of advanced processing, usually coupled with data analysis, to improve efficiency or gain new capabilities",38.52607040405273
0,14477,"A subject matter related to navigation services, traffic management, and solutions offered by a specific company",29.350732040405273
0,16268,"Reference to the temporal sequence of events, in the context of a short duration, such as an event that follows or happens instantly, or that is happening in the current context",40.861880493164065
0,10531,"The neuron activates in the presence of indefinite articles ""a"" and ""an"", frequently preceding nouns, in a variety of contexts, including descriptions of objects, legal concepts, career paths, and activities such as walking, with an emphasis on the role of the indefinite articles to introduce the noun, like 'a' dinner plate, 'a' career, 'a' walk",7.635024642944336
0,10338,"Topics, such as services and solutions, are offered in relation to telecommunications, and frequently associated with the term telephone, related to marketing and business operations",8.329587936401367
0,12482,"Instances of childhood or infancy, particularly in the context of creating or receiving presents, or with regards to objects used to entertain them!",10.715769195556641
0,6213,Cyclical periods characterized by distinct weather patterns or related events,71.5052734375
0,31,"An abbreviation frequently used, often in the context of scientific, industrial, or specialized website content, appearing after related terms",37.527627563476564
10,10818,"Instances of dates, especially with months such as September, followed by information related to politics, economics, stock markets, and sports competitions",27.883553314208985
10,10787,"The texts present instances where a component is described or presented as a result or a consequence, related to some previous action or system, with the term ""Gets"" appearing repeatedly in a list of permissions, ""done"" appearing after timestamps with summaries of operations, and the word ""합니다"" appearing alongside descriptions of a translation service. Furthermore, an abbreviation for example, or ""eg"", is used to illustrate how to organize items or filter information within a project.",5.536479949951172
10,3863,"Instances of user-generated content, in which a user responds to another user, or initiates a response, with the context of a discussion forum or comment section; the conversation involves a back and forth that mentions actions or results, often with indications of approval, agreement, or further discussion of the subject, and some form of a signature that indicates the author or source of the comment.",23.116864013671876
10,10341,"Immunology or Antibody identification, color names, and jewelry types are present",16.059333038330077
10,4006,"Links to external resources, typically URLs, often with slashes and other symbols, embedded within the text, and often related to news articles, social media, or software downloads",27.078825378417967
10,13527,"Information retrieval, including the words like, and the process of sourcing information, especially dates and source websites or other references",6.307967185974121
10,1198,"Information about software packages, updates, and versions is requested and presented, particularly focusing on the processes involved in installing or applying updates for software. It includes actions like selecting target packages, downloading required components, and the use of software component architecture format files.",6.726851844787598
10,15418,"Offers to provide assistance in the form of services or goods, often with the phrase  and the expression of an eagerness or willingness to provide the assistance, frequently involving contact information and an invitation to communicate",44.74777450561523
10,8945,"A specific numeric value, specifically the number one, is being mentioned in relation to a real-estate context to express quantitative information",4.145364713668823
10,11970,"Concepts of risk are a central theme, encompassing a range of potential consequences, including harm to individuals and the economy, that result from specific events or situations and actions taken or not taken in response to them, also encompassing discussions about actions or inactions in specific contexts and their associated repercussions, exploring scenarios related to avoiding and managing risks",11.509549140930176
10,9562,Expressions indicating a preceding statement or previously discussed information!,54.83534469604492
10,3209,"Information and visual representation related to individuals, encompassing elements such as biographical data, images, and content available through websites or online platforms!",20.782211685180663
10,2286,The beginning of a document,15.213083267211914
10,8648,Initial sentences of the texts,17.507220840454103
10,8516,"The presence of foods, beverages, and preparations, frequently associated with breakfast, brunch, or light meals, with attributes such as quality, and the state of being recently made or harvested",54.352159881591795
10,1928,"A discussion or comparison of musical works is occurring, particularly in the context of recent releases and upcoming projects, with a focus on evaluating their potential success and the influence of different styles and artists, also highlighting aspects such as sales, chart performance, and the reception by the audience!",24.62832107543945
10,12045,"Complete absence or negation, lack of something in its entirety",39.757816314697266
10,15015,"The circumstances that are related to past accomplishments or established foundations, often involving individuals or entities, and can encompass financial, societal, or professional aspects",48.09955520629883
10,603,"Passages of time, including a unit of 10 years and a unit of 100 years, and units representing a 24-hour cycle or a portion of the week",22.940536117553712
10,4250,Announcements or reports related to business partnerships or collaborations often involve two or more entities,6.369191074371338
20,1654,"The neuron appears to activate when there is a series of entries or information, often formatted or organized in a specific manner, that could potentially constitute a list or a collection of related items or data. The items could be logs, dates, database records, journal entries or even addresses. The order might involve a chronological order, a numerical order or a spatial arrangement.",40.12568054199219
20,13722,"Descriptions of sustainability and environmental responsibility, especially as related to manufacturing practices, product design, and energy usage, or mentions of environmentally sound practices, materials, or energy sources",113.24947509765624
20,1817,"The beginning of a text, and the name or a part of a name, especially when referring to an individual or group involved in scientific research, military displays, or business operations",109.8393569946289
20,3307,"Days of the week are mentioned, especially when they are associated with events, or deadlines, and are used to provide the time context of the text, often in the context of games, challenges, and scheduled activities",174.381982421875
20,4671,Initialization,81.82122344970703
20,3429,The state of an event continuing or existing during a specified period or timeframe,100.79802703857422
20,6348,"A connection to a sport with punches and combat, often with a ring, with mentions of matches, winning and titles, and people competing or coaching, along with associated terms like weight classes, knockouts, camps, and related organizations or places",179.91661682128907
20,1478,"The interplay between contrasting elements, the juxtaposition of seemingly separate concepts, and the establishment of a boundary that separates different ideas or realities are explored. This includes boundaries between art forms, different perceptions and also the concept of internal and external. Further examples include distinctions and the real and the imagined, alongside the concept of inclusion and exclusion of thought. The examples also cover the idea of unity and how different elements are interconnected.",84.44636688232421
20,759,"Initial state of a textual representation, with focus on the beginning",72.27669525146484
20,1615,Initialization of a text,71.25188446044922
20,15565,Digital object identifiers and related web links,16.49509963989258
20,10433,"A depiction of a persona's identity, frequently highlighting aspects of self-awareness, personal characteristics, and preferences in the form of self-descriptions, thoughts, and introspections, often focusing on multifaceted interests, traits, and individual aspirations!",76.1896728515625
20,1374,"Expressions related to the representation of percentages, numerical proportions, or rates of change, frequently presented within the context of surveys, statistical data, or comparative analysis, along with the percentage symbol.",118.31708068847657
