# Truly failed runs that need to be repeated
# Format: layer_id,unit_id,method,reason

0,5960,silhouette,empty_csv
20,328,silhouette,empty_csv
40,4965,fixed-k5,empty_csv
40,5557,davies_bouldin,empty_csv
0,2725,davies_bouldin,k_mismatch(10_vs_2)
0,3943,silhouette,k_mismatch(9_vs_5)
0,4405,silhouette,k_mismatch(9_vs_8)
0,4842,bic,k_mismatch(2_vs_1)
0,5551,silhouette,k_mismatch(9_vs_6)
0,6314,davies_bouldin,k_mismatch(10_vs_1)
20,1790,davies_bouldin,k_mismatch(10_vs_6)
20,2325,davies_bouldin,k_mismatch(10_vs_3)
20,2679,davies_bouldin,k_mismatch(9_vs_7)
20,2700,davies_bouldin,k_mismatch(10_vs_9)
20,2869,bic,k_mismatch(2_vs_1)
20,2988,bic,k_mismatch(2_vs_1)
20,3313,davies_bouldin,k_mismatch(10_vs_7)
20,3885,silhouette,k_mismatch(10_vs_5)
20,6045,davies_bouldin,k_mismatch(9_vs_2)
40,1555,silhouette,k_mismatch(10_vs_5)
40,3254,davies_bouldin,k_mismatch(10_vs_6)
40,3948,davies_bouldin,k_mismatch(10_vs_4)
40,6067,davies_bouldin,k_mismatch(10_vs_7)
40,6106,silhouette,k_mismatch(2_vs_1)
0,2725,fixed-k5,partial_fixed_k5(4/5)
0,4297,fixed-k5,partial_fixed_k5(2/5)
20,1004,fixed-k5,partial_fixed_k5(2/5)
20,5662,fixed-k5,partial_fixed_k5(2/5)
40,4055,fixed-k5,partial_fixed_k5(4/5)
