layer,unit,description,mean_activation,highlights
40,3636,"Specific named entities, explicit requirements or limitations, functional processes or actions, and critical professional or technical details",,[]
40,3636,"Providing specific characteristics, actions, conditions, or relationships, detailing the nature or manner of an event or entity",,[]
40,3636,"Attributes of personal enjoyment, home environment, and the care for loved ones or pets",,[]
40,3636,"Commercial activities and organizational management, including financial aspects, strategic planning, and analytical exploration",,[]
40,3636,"Connecting elements, specifying purpose or functionality, describing states or attributes, and detailing interactions involving a user or system",,[]
40,3636,"The specific attributes of items, properties, and services, including their materials, dimensions, identifying names, features, components, and what is included or described",,[]
40,3636,"The structured elements of organized activities, events, projects, and groups, encompassing participants, logistical arrangements, and administrative support",,[]
40,3636,"Specific details, qualities, or actions completing a previously introduced concept, name, abbreviation, or a common grammatical pattern",,[]
40,3636,"Specific identifiers for named entities, real-world objects, and locations, along with their characteristics, actions, and operational details",,[]
40,3636,"Unique identification of named entities, specific locations, defined events, or classified categories, including their particular characteristics, associated actions, or prevailing conditions, and the relational terms establishing their immediate context",,[]
