layer,unit,status,num_samples,embedding_shape
0,1149,success,1001,"(1001, 1536)"
0,1749,success,1001,"(1001, 1536)"
0,2725,success,1001,"(1001, 1536)"
0,3057,success,1001,"(1001, 1536)"
0,3124,success,1001,"(1001, 1536)"
0,3279,success,1001,"(1001, 1536)"
0,3533,success,1001,"(1001, 1536)"
0,3696,success,1001,"(1001, 1536)"
0,3943,success,1001,"(1001, 1536)"
0,4297,success,1001,"(1001, 1536)"
0,4405,success,1001,"(1001, 1536)"
0,4679,success,1001,"(1001, 1536)"
0,4842,success,1001,"(1001, 1536)"
0,5085,success,1001,"(1001, 1536)"
0,5551,success,1001,"(1001, 1536)"
0,5781,success,1001,"(1001, 1536)"
0,5960,success,1001,"(1001, 1536)"
0,6114,success,1001,"(1001, 1536)"
0,6314,success,1001,"(1001, 1536)"
20,328,success,1001,"(1001, 1536)"
20,1004,success,1001,"(1001, 1536)"
20,1406,success,1001,"(1001, 1536)"
20,1424,success,1001,"(1001, 1536)"
20,1790,success,1001,"(1001, 1536)"
20,2325,success,1001,"(1001, 1536)"
20,2679,success,1001,"(1001, 1536)"
20,2700,success,1001,"(1001, 1536)"
20,2869,success,1001,"(1001, 1536)"
20,2988,success,1001,"(1001, 1536)"
20,3313,success,1001,"(1001, 1536)"
20,3885,success,1001,"(1001, 1536)"
20,4268,success,1001,"(1001, 1536)"
20,4447,success,1001,"(1001, 1536)"
20,4683,success,1001,"(1001, 1536)"
20,5278,success,1001,"(1001, 1536)"
20,5662,success,1001,"(1001, 1536)"
20,5741,success,1001,"(1001, 1536)"
20,5789,success,1001,"(1001, 1536)"
20,6045,success,1001,"(1001, 1536)"
40,183,success,1001,"(1001, 1536)"
40,364,success,1001,"(1001, 1536)"
40,556,success,1001,"(1001, 1536)"
40,824,success,1001,"(1001, 1536)"
40,1516,success,1001,"(1001, 1536)"
40,1555,success,1001,"(1001, 1536)"
40,1823,success,1001,"(1001, 1536)"
40,3254,success,1001,"(1001, 1536)"
40,3515,success,1001,"(1001, 1536)"
40,3612,success,1001,"(1001, 1536)"
40,3636,success,1001,"(1001, 1536)"
40,3948,success,1001,"(1001, 1536)"
40,4055,success,1001,"(1001, 1536)"
40,4244,success,1001,"(1001, 1536)"
40,4808,success,1001,"(1001, 1536)"
40,4965,success,1001,"(1001, 1536)"
40,5557,success,1001,"(1001, 1536)"
40,6067,success,1001,"(1001, 1536)"
40,6106,success,1001,"(1001, 1536)"
40,6364,success,1001,"(1001, 1536)"
