layer,unit,explanation,AUC,U1,p,MAD
0,823,Financial and game-related content that describes items and products.,0.8054,1946.0,0.0008788254495875746,0.9045934593986122
0,1997,"Terms and references to telecommunication and mobile devices, including global identification numbers, phone numbers, and services are discussed.",0.4869,5131.0,0.8869411783871665,-0.09871451928234763
0,2395,"Instances of organizations, entities, or concepts that relate to acts of governance, legal disputes, financial transactions, and brewing activities are mentioned consistently. Events of legal rights, government actions, and court proceedings are present, along with economic issues, currency exchange, and tax implementations. The occurrences of specific brewing techniques, beer names, and brewery collaborations show up as well.",0.9731000000000001,269.0,2.553485896813e-07,2.5126510810118123
0,3016,"Merchandise for sale that includes a link to the product, frequently as gift ideas, often related to outdoors or travel, and mentioning prices, or accessories; it also mentions product specifications with some marketing and promotional language",0.1065,8935.0,1.8149596106550127e-05,-1.4906614412173727
0,3887,"A focus on intellectual property, visual works, and financial transactions. This includes items such as image licensing, usage terms, and the commercial implications of using visual assets, encompassing aspects of copyright, revenue generation, and the rights associated with the creation, distribution, and display of visual material, along with financial considerations related to pricing, sales, and services",0.4473,5527.0,0.5662346873011382,-0.11901962981370437
0,5359,"Instances of legal or legislative action, academic research, and narratives featuring detectives or historical contexts that center around issues related to land rights, economic analysis, and fictional detective cases, with a recurring focus on specific individuals, legal concepts, scientific findings, and mysterious plots.",0.106,8940.0,1.7709903976477362e-05,-1.261653440935797
0,5716,"The neuron activates in response to discussions, concerns, or decisions regarding alcohol and its use, including situations where the person expresses enjoying alcohol, or works with alcoholic beverages.",0.7253,2747.0,0.014126524604288159,0.5591645933703037
0,6179,"References to a variety of topics, including beauty tips, galaxies and stars, wildfires and volcanoes, and hunting expeditions, are described.",0.11189999999999999,8881.0,2.361068809002761e-05,-1.1675606128071605
0,7117,"The neuron activates in response to text that includes a depiction of a person, product or concept in a positive and idealized light. This can be seen in texts describing the condition and authenticity of an item, a product launch with appealing features, a photo of a person with positive comments, or advice regarding fitness and self-improvement with emphasis on positive outcomes.",0.8037,1963.0,0.0009390647889532056,1.0344875987756947
0,7181,"Focusing on the presence of geometric shapes, such as cubes, faces, and angles, and also with words associated with surfaces, edges, or boundaries. Moreover, the activation also depends on words associated with measurements or properties like ""unit"" or ""smooth"". The context involves concepts like integrals, and the unit normal of a cube's face, or the faces' x,y components. Also the concept is linked to a mathematical formulation.",0.516,4840.0,0.8620459292628105,-0.015215085205120635
0,8039,"The common thread is a sense of added substances and enhancement, like a specific ingredient or treatment to a product, dish or activity, that is implied to add value. This includes a spa product, an approach to medical practice, an engineering process, or a food item.",0.7654000000000001,2346.0,0.0038413164182278907,0.48210009591962333
0,9782,"The neuron activates in response to text that focuses on products or services often associated with gatherings and events. It is activated by a variety of instances, including discussions about guns at a show, the sale of items at a venue, the production of food items, such as the flour, and also items like flower crowns, and football drafts. Furthermore, there are details about the locations, marketing, and the overall context of the event or product. The activation specifically occurs near words that describe the type, details, and context of these products or events.",0.19890000000000002,8011.0,0.0010386314122441058,-0.6855801689422885
0,9811,"Joyful feelings and elation are associated with experiences that involve faith, spirituality, and positive emotions, frequently connected to divine or religious contexts, and a sense of belonging or the benefits of faith within a community or among believers",0.36229999999999996,6377.0,0.1337038812941873,-0.31940672827504485
0,10081,"Statistical data and metrics of a system or application are presented, often involving counts, amounts, or performance indicators, frequently tied to the context of a game, website, or service!",0.3449,6551.0,0.09117682976813293,-0.3777473714283377
0,10095,"Recurring pledges of commitment or agreements that involve multiple parties or groups, which often encompass financial contributions, adherence to rules, and potential consequences such as voting, charitable donations, attending meetings, or the ability to resign.",0.8449999999999999,1550.0,0.00017119151837475415,2.3801118266802352
0,10609,"Recurring situations involving a need for some kind of protective measure, like a structure, device, or action to prevent potential dangers or calamities, are referenced. These dangerous circumstances include shipwrecks, attacks, and rebellions, causing harm and resulting in the loss of life or property.",0.47640000000000005,5236.0,0.7975106987948396,-0.08003032129408874
0,10851,"School-related topics and administrative processes, involving enrollment procedures, student attendance, required documentation like passports, immunization records, and residency proof, and the identification of school locations and districts",0.26970000000000005,7303.0,0.012124382098173316,-0.6776895421104489
0,12733,"Instances related to legal proceedings or religious doctrines. They often involve arbitration processes, legal disputes, court decisions, and interpretations of religious texts or the doctrines of specific religious groups, sometimes with contrasting perspectives.",0.997,30.0,6.159144104237377e-08,3.74921449652835
0,12865,"Texts concerning media, publishing, or content distribution contain numerous occurrences of the term, encompassing entities like publishing houses, the role of a publisher within a book club, or the utilization of the term in association with the source or origin of various visual or textual media",1.0,0.0,5.1283388415865994e-08,10.833577598792745
0,13480,"Activation appears to be triggered by contexts related to service access. This includes mentions of programs, utilities, software and applications, particularly their diagnostics, and ways to handle their installations, unzipping, configuration, backups, or transfer. There's an emphasis on data transfer, security, access keys, and other related features such as unlimited bandwidth or storage for shared hosting accounts.",0.9945999999999999,54.0,7.125753700651079e-08,3.894124781551896
20,99,"Texts discussing finance, including concepts like cryptocurrencies, capitalization, and financial markets, with the recurring emphasis on specific digital coins like Binance Coin and related trading information",0.2394,7606.0,0.004531013304570786,-0.6568035143575595
20,3032,"Contexts related to financial and statistical analysis appear, with recurring references to sampling, error margins, and assessments, frequently in relation to the examination of data and the reliability of estimates, as well as the evaluation of population characteristics, and standards.",0.6838000000000001,3162.0,0.04529548101667469,0.4636753460035787
20,3740,"Themes of creation, artistic expression, and morality emerge, with an emphasis on recurring concepts. These texts describe something that is created or established in the context of the human race and God, artistic skills, or law, and also in the context of something existing at a particular point in time or space. The concepts are then contrasted by the narrative of a story in a historical context.",0.3635,6365.0,0.13712550229515438,-0.3256196181818969
20,5188,"Individuals participating in activities with potential for positive impact are the common theme; these actions include assisting others in achieving goals, offering aid in a professional capacity, contributing time to help others, and providing service to those in need, with the ultimate goal of improving their circumstances",0.7329,2671.0,0.01118614040276653,0.4439672797137397
20,5424,"Financial and economic topics are the focus, particularly on the generation of revenue. This includes aspects of investing, trading, market trends, and related strategies. There is also an emphasis on financial instruments and products, as well as on ways to generate income through specific actions, strategies, and techniques. Also present are aspects of real estate and specific actions involved in wealth accumulation.",0.05660000000000002,9434.0,1.3642154487746713e-06,-2.7588182544926885
20,5733,"Themes of corporate governance, business practices, and social responsibility coupled with mentions of well-known company names, financial performance metrics, and compliance-related concerns",0.6892,3108.0,0.039328671244227564,0.17255377422655585
20,7860,"Information about events or activities, with a focus on details such as schedules, fees, or deadlines, are presented. These are often related to school activities, programs, or educational courses and include instructions for registering or attending, as well as a call to action.",0.8927999999999999,1072.0,1.8782668097384233e-05,1.8769375093844218
20,8256,"The experience of being in a stressful situation that is a competition or a task, which includes: tasks, driving, following instructions or routes, facing challenges or difficulties, and dealing with obstacles in a specific area, and ultimately attempting to complete all the steps needed to reach a desired destination or goal, sometimes with a time constraint, or the act of competing and getting a certain reward.",0.10580000000000003,8942.0,1.7536884663497256e-05,-1.2631370643420272
20,8476,"Periods of political instability and change associated with government structures, featuring references to positions within the government or political parties and shifts in these positions, additionally touching on controversies and related events.",0.1335,8665.0,6.541876465263127e-05,-2.7713827569351883
20,8552,"The neuron activates in response to the presentation of information about places that have offerings such as beers and pubs, and sometimes events related to the consumption of these, alongside some extra information about them such as the history of a bar, the drink menu, or special offers!",0.9352,648.0,2.1284847569425823e-06,1.502226571131509
20,8631,"The neuron activates in response to experiences associated with positive social interactions and favorable circumstances, including instances of personal happiness, engagement, and marital events, such as celebrations of relationships. It also activates on positive experiences, like good food, memorable outings, or moments of triumph and satisfaction, sometimes encompassing descriptions of exceptional effort or achievement, along with appreciation for supportive people. It also encompasses situations involving work and career advancement.",0.7962,2038.0,0.0012533013228570454,0.8196424329518711
20,8876,"Focusing on areas within the realm of law, real estate, and financial matters, primarily relating to legal advice and the actions of clients involved in property management and business affairs, and the presence of legal documents and the use of the word ""Advising"" suggests a legal professional's role.",0.9448,552.0,1.263471366234637e-06,1.6058000005138398
