layer,unit,description
0,8966,"the word 'mer,' which likely indicates a focus on merger-related concepts"
0,3358,"references to the concept of "spirit.""
0,32439,"terms related to automotive industry and capitalism"
0,14315,"mentions of "drawing" and related visual art concepts"
0,259,"references to cancer and related treatments"
0,5369,"terms related to academic degrees"
0,2236,"instances of names and words related to objections or disputes"
0,13767,"instances of the word 'complain' or its variations, indicating discontent or dissatisfaction"
0,9661,"instances of the word "rival" in various contexts"
0,10917,"terms related to bars, drinking, and nightlife"
0,2332,"references to counterarguments or opposing points of view"
0,29332,"words related to weakness or deficiencies in a situation"
0,29707,"terms related to subordination or hierarchical relationships"
0,28565,"mentions of the city of Calgary and its associated sports teams"
0,10233,"references to editorial roles and the act of editing"
0,16192,"variations of the word "stand" related to taking a position or stance on issues"
0,28810,"occurrences of the word "sister" in various contexts"
0,2002,"words related to energy or energetic processes"
5,32177,"references to numeric values and ordinal descriptions"
5,966,"website links or references to external content"
5,28452,"the word "special" and its variants"
5,16512,"instances of magazine or publication issues"
5,17724,"words related to obtaining or achieving something"
5,25929,"phrases that refer to contents or subjects related to a specific topic"
5,16554,"references to statistical data and percentages"
5,28636,"URL parameters and video identifiers"
5,7238,"variations of the word "mister.""
5,31286,"references to the second person pronoun "you.""
5,288,"phrases that relate to the concept of 'of' followed by a noun or noun phrase, often indicating a specific context or quality"
5,22011,"references to competitive matchups or confrontations in sports"
5,17855,"references to global conflicts and wars"
5,16845,"elements related to programming and code syntax, particularly around block closures and control flow structures"
5,26939,"elements related to academic or educational institutions"
5,30319,"mentions of notable individuals and their contributions, particularly in the context of relations and connections to organizations or concepts"
5,28227,"phrases related to statistical rates and measurements in health and socioeconomic contexts"
5,330,"instances of the word 'from' and its variations, indicating a focus on origins or affiliations"
5,16103,"phrases related to political processes and events"
5,24156,"words describing populous or chaotic situations"
10,9814,"phrases related to justification or rationality"
10,900,"mentions of tax-related legal sections and codes"
10,17243,"business-related terms and actions involving acquisitions and transactions"
10,27166,"words and phrases related to fighting or combat sports, particularly in the context of events or organizations like UFC"
10,8624,"references to funding and financial support institutions"
10,27300,"phrases or words indicating emphasis or attention"
10,8757,"phrases and words that indicate direction or purpose, often starting with 'to.'"
10,14924,"the phrase "in all" in different contexts"
10,21878,"numerals and numeric patterns"
10,5239,"words and phrases containing various endings or suffixes related to adjectives or other descriptive forms"
10,4369,"occurrences of the word "ib" in various contexts"
10,10235,"references to news reporting and licensing opportunities"
10,9896,"instances of phrases that initiate a thought or statement"
10,9242,"negative indicators or terms related to errors and exceptions"
10,20265,"terms related to fossil fuels"
10,1319,"references to affiliate links and related marketing policies"
10,15562,"variations of the letter 'g' in different cases"
10,1690,"references to financial accounts and strategies"
10,24347,"references to events or actions occurring within a timeline"
10,15235,"questions beginning with "what does" or similar phrases"
