layer,unit,description,max_activation
0,8966,"Exposure to the concept of artists or singers, specifically when associated with significant moments or releases",12.8395170211792
0,3358,"The semantic relates to references to an automobile race, or the name of a specific race series and event, with the inclusion of specific terminology related to race cars and the racing circuit",11.980864334106446
0,32439,"Vehicles, parts, and associated industries, specifically the industry related to the design, production, and repair of vehicles, including the companies that focus on these activities",6.150687026977539
0,14315,"Visual representation or creation, often detailing a process, a concept, or a specific item, that may include aspects like plans, designs, or art.",8.459804725646972
0,259,"The presence of a disease, in some cases specifically affecting the thyroid, colon, or pancreas, and in other instances linked to intestinal issues, and is often presented in contexts of treatment, research, or support.",10.450622177124023
0,18124,"Texts that discuss religious texts, particularly focusing on their role in faith, and interpretation, including their historical context, authority, and narrative.",5.679088020324707
0,5369,Academic achievement or educational pursuits associated with an undergraduate course of study,7.634314060211182
0,2236,"An individual or entity's name, often a person, is followed by some text, and the name is often associated with a business or product.",11.312154388427734
0,13767,"Expression of dissatisfaction or grievance, often relating to perceived mistreatment, unfairness, or substandard service.",7.046863842010498
0,9661,"Competitive entities or groups in different domains, including sports, politics, and business, and the context of their relationships, conflicts, or transactions",14.268548393249512
0,10917,Substances or ingredients,4.986212253570557
0,2332,"Quantifiable data, and locations where these items are measured or calculated",14.779509735107421
0,29332,"Mentions of places, including a city in China and a company location, and also a word that is present in the city's name.",13.803981018066406
0,29707,"The financial hierarchy of debt, the ranking of claims, and the potential for a specific type of debt to be treated less favorably in the event of insolvency or bankruptcy, as well as the roles and responsibilities in the context of an organization's internal structure and management.",2.926342177391052
0,28565,References to cities or geographic locations,6.2720026016235355
0,10233,"Professional roles and services related to refining text, articles, or other written content, where the individuals involved are responsible for reviewing and improving written materials",11.652700042724609
0,16192,"Physical presence, particularly representing something or someone or being present at an event",6.968759346008301
0,28810,"References to groups of individuals, either in the context of performance, relationships, or shared experiences",14.060810089111328
0,2002,The occurrence of something new or a resurgence of something that already exists!,16.25740032196045
5,32177,A continuation of a topic or a series of events; the second part in a sequence,8.257452201843261
5,966,"Financial transactions and services, theater productions, educational initiatives, podcast content, and the focus on a campaign for public awareness, all of which aim to address a particular issue, activity, or event, or offer information, resources, or guidance in relation to these topics",3.7562143802642822
5,28452,"A conviction concerning a specific concept, quality, or process is important to a person or group",15.88260440826416
5,16512,"Works of art that are adapted or reinterpreted, often in a humorous way, along with details like the source material, the dates of these adaptations, and the theatrical venues where they were performed",9.490145301818847
5,17724,"Establishing an agreement or receiving a benefit, often involving allocation of resources and actions taken to secure these, also mentioning the involvement of institutions or people that have been successful in the past",7.455610847473144
5,25929,"Legal disclaimers and limitations, including conditions for use, warranty exclusions, liability restrictions, and termination clauses, and pertaining to the use of a website, or a specific product or service",5.0658447265625
5,16554,Structures or facilities designed for human use,2.9908146381378176
5,28636,"A reference to car modifications involving body alterations and a planned race car aesthetic, potentially including a component used for aerodynamics",5.188759589195252
5,7238,Product recalls and potential consumer health hazards due to manufacturing defects or contamination,11.694071006774902
5,31286,"The act of establishing or the characteristics of a specific area, especially in an economic context, where rules and regulations are modified to encourage economic growth, often including tax benefits, relaxed labor laws, and simplified administrative procedures, and the effect it has on the population, as well as the impact on wealth distribution",16.39956169128418
5,288,Technical specifications and configurations,7.432319259643554
5,22011,Athletic competitions and events,8.372442245483398
5,17855,"Medical institutions with multiple locations, patient care, and specialized departments",9.381484222412109
5,16845,"Culinary instructions with various components involved in the preparation of food, recipes for baked goods and dishes, and elements such as [lemon], [fish], and [apples].",1.9906058073043824
5,26939,"Activities and events related to leisure and celebration, often involving themes of travel, music, festivals, or sports, with an emphasis on enjoyment and participation",3.510486936569214
5,30319,"Accounts of financial reports, statistics, and sales data, especially those related to a specific company, and the reporting of death and funeral arrangements with specific dates, places, and names, and the act of hunting.",6.8320433616638185
5,28227,Methods of intake and effect of substances on a subject,4.375213718414306
5,330,"Introductions to new individuals within a community, marked by greetings and declarations of origin, followed by the sharing of personal information and interests or nicknames, indicating a sense of belonging or the establishment of a connection",7.488259506225586
5,16103,"Products or items related to automobiles, workplace, or small objects, often with a retro or classic theme, and that are potentially used as gifts or accessories",1.7199575901031494
5,24156,"The texts describe environments and locations that are characterized by activity and energy, such as a city area, resort, or a business location, which are portrayed as lively and full of movement",5.2263740539550785
10,9814,"Adherence to established rules, processes, or established methods with an emphasis on acting to meet certain requirements, with one instance being in a professional setting",7.321780967712402
10,900,"Laws or regulations and their requirements for something that needs to be transported, packaged, or insured.",1.9969637393951416
10,17243,"The concept of feedback or opinions given by other individuals regarding products or services, especially in the context of consumer choices, their evaluation, and decision-making processes",2.3677748680114745
10,27166,"Discussions of video games that emphasize specific gameplay, settings, and release information, sometimes including developer and publisher details, as well as the availability for download or free play.",2.1634506225585937
10,8624,"Images or items associated with a downloadable format, often in the context of being free, along with the date and source of the upload, and instructions to download and rate it",2.3027575969696046
10,27300,"Comparisons between different programming languages, focusing on their features, benefits, and drawbacks, as well as their advantages for particular use cases and environments",4.091218376159668
10,8757,"Presentations or collections of images or designs, often in the context of galleries or online displays, and sometimes associated with specific themes like designs, resumes, or furniture, or involving artists and exhibitions.",6.265117359161377
10,14924,Acts of rescue in emergency situations,8.203787899017334
10,21878,"Investments in projects or infrastructure, often associated with education or government, and involving bonds or funding.",0.35473467111587526
10,5239,Medical conditions and care,6.5477642059326175
10,4369,"Descriptions of collaborative events, networking opportunities, and business partnerships",8.473737716674805
10,10235,"Mentions of specific creative works and their contexts alongside various related labels or tags, suggesting content categorization or reference.",1.8172205924987792
10,9896,"The business or product is being assessed based on its unique qualities, quality or performance, or its innovation, with the intention of being preferred over similar offerings",6.933622074127197
10,9242,"References to the names of companies, airlines, or entities related to media, entertainment, and commercial products, sometimes involving the names of the products themselves",1.5332293510437012
10,20265,"Alternative energy sources and renewable energy technologies, especially to those related to reduction of dependence on fossil fuels, environmental and climate impact.",9.027255439758301
10,1319,"Information related to public events, exhibitions, or contests along with the involved locations and individuals",2.24865984916687
10,15562,A surname in the context of a sports report concerning a soccer match,9.865010833740234
10,1690,"Mobile devices and their associated vulnerabilities during travel, emphasizing the need for precautions like enabling built-in security features, disabling location tracking, data backup, and OS updates to prevent loss, theft, or information compromise while away from familiar locations!",4.099385786056518
10,24347,"Awards or distinctions earned in a game or application, often indicated with a title and level number",11.365120315551758
10,15235,"Discussion of practices or actions taken by people in positions of power, authority, or influence, which are connected to specific types of organizations, institutions, or relationships, and the behaviors related to the power that they possess or the rules that they are expected to follow, and the consequences of their actions or behaviors!",6.185735988616943
