layer,unit,method,explanation,AUC,U1,p,MAD
0,440,bic,"Describing the nature, type, or state of entities, along with their qualifications, management, or formal recognition",0.625,3750.0,0.17342141685872614,0.3149596444452117
0,440,bic,"Providing detailed characteristics, exact measurements, specific identities, or precise conditions",0.39399999999999996,6060.0,0.24838012605362714,-0.2938558447834956
0,440,davies_bouldin,"Specifications concerning the timing, frequency, or duration of events, along with qualitative assessments of condition or characteristic properties, administrative and procedural requirements, and precise identification of entities or locations",0.5246999999999999,4753.0,0.7882727513709038,0.1008823122632726
0,440,davies_bouldin,"Identification of specific entities, their precise attributes, defining characteristics, exact measurements, particular components, and explicit temporal or spatial relationships",0.6838,3162.0,0.04529548101667469,0.4676180144828332
0,440,davies_bouldin,"Detailed aspects, conditions, quantities, or specific characteristics of subjects and happenings",0.9254,746.0,3.585661432086684e-06,1.95212196830964
0,440,davies_bouldin,"The detailed aspects, quality, and execution of professional services, business operations, and information or data management",0.9093,907.0,8.24760815337526e-06,1.7962057801187183
0,440,davies_bouldin,"The specific identification of proper nouns, distinct categories, exact numerical values including financial data, precise time and date references, particular services or features, expressions of acknowledgment or importance, and indications of status or participation",0.9474,526.0,1.0950428197769315e-06,2.632718698205213
0,440,davies_bouldin,"Digital technology platforms, their implementation, management, and strategic use in business operations, service delivery, and information exchange",0.8653000000000001,1347.0,6.91222390521984e-05,1.297316163928565
0,440,davies_bouldin,"The attributes of human activity, including personal involvement, organizational roles, and structured procedural details",0.9257000000000001,743.0,3.529444979545144e-06,1.7990768031708566
0,440,davies_bouldin,"Categorizing entities, refining qualities, or specifying actions and states",0.9811,189.0,1.5980166337531825e-07,2.2992266053530797
0,440,davies_bouldin,"Particular characteristics, classifications, evaluations, or states of objects, services, and experiences",0.9062,938.0,9.649588245287196e-06,2.1348252007797672
0,440,fixed-k5,"Specific instances, individual attributes, and particular conditions or requirements",0.6504,3496.0,0.10141809016695552,0.4463227053916715
0,440,fixed-k5,"Distinctive identifiers, descriptive characteristics, classifications, and contextual relationships of entities or events",0.5301,4699.0,0.7433762858422748,0.08663131339661731
0,440,fixed-k5,"Specific identifiers including proper names, abbreviations, and classifications; definite quantities, durations, and extents; and particular attributes, states, or roles",0.6787000000000001,3213.0,0.051614257282690784,0.4171048400164617
0,440,fixed-k5,"Descriptions of qualities, attributes, and characteristics of objects, activities, or conditions, encompassing their type, style, comfort, perceived value, degree, or manner of presentation",0.9853999999999999,146.0,1.2383693633288255e-07,2.4376957450583316
0,440,bic,"Describing the nature, type, or state of entities, along with their qualifications, management, or formal recognition",0.625,3750.0,0.17342141685872614,0.3149596444452117
0,440,bic,"Providing detailed characteristics, exact measurements, specific identities, or precise conditions",0.39399999999999996,6060.0,0.24838012605362714,-0.2938558447834956
0,440,davies_bouldin,"Specifications concerning the timing, frequency, or duration of events, along with qualitative assessments of condition or characteristic properties, administrative and procedural requirements, and precise identification of entities or locations",0.5246999999999999,4753.0,0.7882727513709038,0.1008823122632726
0,440,davies_bouldin,"Identification of specific entities, their precise attributes, defining characteristics, exact measurements, particular components, and explicit temporal or spatial relationships",0.6838,3162.0,0.04529548101667469,0.4676180144828332
0,440,davies_bouldin,"Detailed aspects, conditions, quantities, or specific characteristics of subjects and happenings",0.9254,746.0,3.585661432086684e-06,1.95212196830964
0,440,davies_bouldin,"The detailed aspects, quality, and execution of professional services, business operations, and information or data management",0.9093,907.0,8.24760815337526e-06,1.7962057801187183
0,440,davies_bouldin,"The specific identification of proper nouns, distinct categories, exact numerical values including financial data, precise time and date references, particular services or features, expressions of acknowledgment or importance, and indications of status or participation",0.9474,526.0,1.0950428197769315e-06,2.632718698205213
0,440,davies_bouldin,"Digital technology platforms, their implementation, management, and strategic use in business operations, service delivery, and information exchange",0.8653000000000001,1347.0,6.91222390521984e-05,1.297316163928565
0,440,davies_bouldin,"The attributes of human activity, including personal involvement, organizational roles, and structured procedural details",0.9257000000000001,743.0,3.529444979545144e-06,1.7990768031708566
0,440,davies_bouldin,"Categorizing entities, refining qualities, or specifying actions and states",0.9811,189.0,1.5980166337531825e-07,2.2992266053530797
0,440,davies_bouldin,"Particular characteristics, classifications, evaluations, or states of objects, services, and experiences",0.9062,938.0,9.649588245287196e-06,2.1348252007797672
0,440,fixed-k5,"Specific instances, individual attributes, and particular conditions or requirements",0.6504,3496.0,0.10141809016695552,0.4463227053916715
0,440,fixed-k5,"Distinctive identifiers, descriptive characteristics, classifications, and contextual relationships of entities or events",0.5301,4699.0,0.7433762858422748,0.08663131339661731
0,440,fixed-k5,"Specific identifiers including proper names, abbreviations, and classifications; definite quantities, durations, and extents; and particular attributes, states, or roles",0.6787000000000001,3213.0,0.051614257282690784,0.4171048400164617
0,440,fixed-k5,"Descriptions of qualities, attributes, and characteristics of objects, activities, or conditions, encompassing their type, style, comfort, perceived value, degree, or manner of presentation",0.9853999999999999,146.0,1.2383693633288255e-07,2.4376957450583316
0,440,fixed-k5,"Specific aspects of professional and commercial operations, technical systems, and qualifications, alongside descriptive characteristics of entities or situations, and direct or indirect forms of communication and collaboration",0.4462999999999999,5537.0,0.5588837334941867,-0.03296983180279762
