layer,unit,explanation,AUC,U1,p,MAD
0,8966,"the word 'mer,' which likely indicates a focus on merger-related concepts",0.5,5000.0,1.0,0.0
0,3358,"references to the concept of spirit.""""",0.5,5000.0,1.0,0.0
0,32439,terms related to automotive industry and capitalism,0.5,5000.0,1.0,0.0
0,14315,"mentions of drawing"" and related visual art concepts""",0.5,5000.0,1.0,0.0
0,259,references to cancer and related treatments,0.5,5000.0,1.0,0.0
0,5369,terms related to academic degrees,0.5,5000.0,1.0,0.0
0,2236,instances of names and words related to objections or disputes,0.4795,5205.0,0.5146497754465963,-0.19126188615891201
0,13767,"instances of the word 'complain' or its variations, indicating discontent or dissatisfaction",0.5,5000.0,1.0,0.0
0,9661,"instances of the word rival"" in various contexts""",0.5,5000.0,1.0,0.0
0,10917,"terms related to bars, drinking, and nightlife",0.5,5000.0,1.0,0.0
0,2332,references to counterarguments or opposing points of view,0.5,5000.0,1.0,0.0
0,29332,words related to weakness or deficiencies in a situation,0.5074000000000001,4926.0,0.8743627772445672,0.22261307649908657
0,29707,terms related to subordination or hierarchical relationships,0.5,5000.0,1.0,0.0
0,28565,mentions of the city of Calgary and its associated sports teams,0.5,5000.0,1.0,0.0
0,10233,references to editorial roles and the act of editing,0.5,5000.0,1.0,0.0
0,16192,"variations of the word stand"" related to taking a position or stance on issues""",0.5,5000.0,1.0,0.0
0,28810,"occurrences of the word sister"" in various contexts""",0.5,5000.0,1.0,0.0
0,2002,words related to energy or energetic processes,0.4935,5065.0,0.7189082106886189,-0.08364446690139485
5,32177,references to numeric values and ordinal descriptions,0.474,5260.0,0.46033884353043864,-0.09477775749795178
5,966,website links or references to external content,0.5,5000.0,1.0,0.0
5,28452,"the word special"" and its variants""",0.5296500000000001,4703.5,0.3279661342458542,-0.04193181953146495
5,16512,instances of magazine or publication issues,0.495,5050.0,0.7531671195040612,-0.09640338135571672
5,17724,words related to obtaining or achieving something,0.4995,5005.0,0.9282872148296558,-0.031622777473641686
5,25929,phrases that refer to contents or subjects related to a specific topic,0.5701999999999999,4298.0,0.35589347302683816,-0.022279803953269346
5,16554,references to statistical data and percentages,0.4835,5165.0,0.5606258462719326,-0.14879153400197875
5,28636,URL parameters and video identifiers,0.4775,5225.0,0.4938601417411973,-0.20153770801974316
5,7238,"variations of the word mister.""""",0.5,5000.0,1.0,0.0
5,31286,"references to the second person pronoun you.""""",0.5,5000.0,1.0,0.0
5,288,"phrases that relate to the concept of 'of' followed by a noun or noun phrase, often indicating a specific context or quality",0.487,5130.0,0.6070460330118466,-0.15364405938930653
5,22011,references to competitive matchups or confrontations in sports,0.47050000000000003,5295.0,0.4298937584182839,-0.2318734286253843
5,17855,references to global conflicts and wars,0.5,5000.0,1.0,0.0
5,16845,"elements related to programming and code syntax, particularly around block closures and control flow structures",0.4985,5015.0,0.8668999038035439,-0.04124204361679739
5,26939,elements related to academic or educational institutions,0.5044500000000001,4955.5,0.9269537790821685,0.787534547462335
5,30319,"mentions of notable individuals and their contributions, particularly in the context of relations and connections to organizations or concepts",0.4835,5165.0,0.5606258462719326,-0.12506189277850513
5,28227,phrases related to statistical rates and measurements in health and socioeconomic contexts,0.499,5010.0,0.8930729598349715,-0.04253721351347928
5,330,"instances of the word 'from' and its variations, indicating a focus on origins or affiliations",0.4995,5005.0,0.9282872148296558,-0.03162277874335071
5,16103,phrases related to political processes and events,0.5,5000.0,1.0,0.0
5,24156,words describing populous or chaotic situations,0.4975,5025.0,0.8262064843112343,-0.0598103408193648
10,9814,phrases related to justification or rationality,0.6613,3387.0,4.654839249354586e-05,0.5265724699253714
10,900,mentions of tax-related legal sections and codes,0.8989,1011.0,3.8933423364145374e-102,39.881393694370445
10,17243,business-related terms and actions involving acquisitions and transactions,0.32800000000000007,6720.0,0.03497863272294408,-0.5523268118483202
10,27166,"words and phrases related to fighting or combat sports, particularly in the context of events or organizations like UFC",0.4955,5045.0,0.7658208103784006,-0.09121530171105839
10,8624,references to funding and financial support institutions,0.7497499999999999,2502.5,7.603157097191954e-93,26.714572048640978
10,27300,phrases or words indicating emphasis or attention,0.276,7240.0,0.007322865807197151,-0.5712450545247006
10,8757,"phrases and words that indicate direction or purpose, often starting with 'to.'",0.4665,5335.0,0.3982401790450114,-0.1801713956994899
10,14924,"the phrase in all"" in different contexts""",1.0,0.0,7.436021348433945e-60,34.37926782272389
10,21878,numerals and numeric patterns,0.5,5000.0,1.0,0.0
10,5239,words and phrases containing various endings or suffixes related to adjectives or other descriptive forms,0.4855,5145.0,0.5863124354350355,-0.12298362756697279
10,4369,"occurrences of the word ib"" in various contexts""",0.9921,79.0,3.294182569821199e-64,4.975409705725161
10,10235,references to news reporting and licensing opportunities,0.4955,5045.0,0.7658207853945895,-0.0889391556711712
10,9896,instances of phrases that initiate a thought or statement,0.372,6280.0,0.06812406587108047,-0.4585065011919486
10,9242,negative indicators or terms related to errors and exceptions,0.4975,5025.0,0.8262064843112343,-0.06462863086989576
10,20265,terms related to fossil fuels,0.9965999999999999,34.0,3.709266007227538e-67,11.202539471709246
10,1319,references to affiliate links and related marketing policies,0.4995,5005.0,0.9282872148296558,-0.031622776562159366
10,15562,variations of the letter 'g' in different cases,0.9173999999999999,826.0,3.1136217106244206e-13,7.060334911199957
10,1690,references to financial accounts and strategies,0.034999999999999976,9650.0,4.0467160678166534e-07,-1.5105962650155242
10,24347,references to events or actions occurring within a timeline,0.8981,1019.0,1.4450891101671336e-05,2.6323344703415095
10,15235,"questions beginning with what does"" or similar phrases""",0.9539,461.0,1.1821538660444848e-19,3.224129067025066
