layer,unit,description
0,10698,"keywords related to medical research and biological analysis"
0,2725,"expressions of acknowledgment or approval, particularly the word 'OK.'"
0,2696,"references to differing types of fat content in food"
0,2536,"references to 'stage' within various contexts"
0,12182,"HTML header tags used in web development documentation"
0,6600,"references to plants and plant-related concepts"
0,3740,"terms related to medical or scientific contexts, particularly focusing on intra-related topics and matrix structures"
0,2818,"references to clinical practice guidelines and standards in medical protocols"
0,13502,"technical terms related to programming, particularly in the context of file handling and versioning"
0,13988,"terms associated with results and reality, particularly in a context that evaluates outcomes"
0,3681,"the presence of the name 'Har.'"
0,13183,"references to programming functions and concepts related to coding"
0,4554,"references to artificial intelligence"
0,14477,"HTML and JavaScript code related to DOM manipulation and mathematical expressions"
0,16268,"instances of the word 'immediately.'"
0,10531,"articles and determiners before nouns"
0,10338,"terms related to programming, particularly in the context of assembly language and graphical user interface attributes"
0,12482,"references to small size or diminutive concepts"
0,6213,"references to seasons and their variations"
0,31,"terms related to political campaigning"
10,10818,"mathematical symbols and expressions related to functions and measurements"
10,10787,"the end of code blocks or statements in programming syntax"
10,3863,"content related to written communication or authorship"
10,10341,"color codes and related CSS properties"
10,4006,"elements related to URLs and hyperlinks"
10,13527,"declarations of final variables in code"
10,1198,"links and HTML structure related to modules and packages in a documentation or coding context"
10,15418,"expressions of willingness to engage or assist in communication"
10,8945,"elements and attributes related to user interface layout in code"
10,11970,"keywords related to consumer behavior and representation in media"
10,9562,"references to previously mentioned information or concepts"
10,3209,"mentions of telephone-related terms and conversations"
10,2286,"variables and their configurations within a programming context"
10,8648,"mathematical symbols and notation related to functions and models"
10,8516,"references to freshness and fresh ingredients"
10,1928,"references to success and achievement"
10,12045,"instances of the word "all" in various contexts"
10,15015,"phrases indicating actions or context related to being concealed or not visible"
10,603,"references to time, specifically days and centuries"
10,4250,"programming constructs related to creating and managing classes and file operations in Java"
20,1654,"specific numeric values or numerical data points in the text"
20,13722,"terms related to sustainability and environmental initiatives"
20,1817,"references to specific scientific terms or proper nouns"
20,3307,"date-related expressions"
20,4671,"repeated occurrences of specific determiners and quantifiers"
20,3429,"phrases that indicate ongoing actions or situations, particularly involving the word 'while.'"
20,6348,"phrases related to combat sports events"
20,1478,"concepts related to dualities and contrasts within various contexts"
20,759,"the beginning of a document or section"
20,1615,"references to legal issues and consequences"
20,15565,"mentions of Java or related programming libraries and frameworks"
20,10433,"references to character relationships and dynamics"
20,1374,"phrases related to financial statistics and economic outcomes"
20,11664,"blocks of code or programming language syntax"
20,8980,"references to specific technical parameters or values in a document"
20,15809,"elements related to object or data structure declarations and manipulations"
20,7626,"references to significant disruptions in operations or services"
20,15942,"words related to bodily features or actions"
20,9859,"events and gatherings, particularly those associated with meetings, competitions, or services"
20,4356,"programming constructs and data types"
