layer,unit,description,max_activation
0,9811,"Joyful feelings and elation are associated with experiences that involve faith, spirituality, and positive emotions, frequently connected to divine or religious contexts, and a sense of belonging or the benefits of faith within a community or among believers",0.069482421875
0,12865,"Texts concerning media, publishing, or content distribution contain numerous occurrences of the term, encompassing entities like publishing houses, the role of a publisher within a book club, or the utilization of the term in association with the source or origin of various visual or textual media",0.56806640625
0,10851,"School-related topics and administrative processes, involving enrollment procedures, student attendance, required documentation like passports, immunization records, and residency proof, and the identification of school locations and districts",0.050042724609375
0,10081,"Statistical data and metrics of a system or application are presented, often involving counts, amounts, or performance indicators, frequently tied to the context of a game, website, or service!",0.75
0,6179,"References to a variety of topics, including beauty tips, galaxies and stars, wildfires and volcanoes, and hunting expeditions, are described.",0.99326171875
0,5716,"The neuron activates in response to discussions, concerns, or decisions regarding alcohol and its use, including situations where the person expresses enjoying alcohol, or works with alcoholic beverages.",0.224951171875
0,12733,"Instances related to legal proceedings or religious doctrines. They often involve arbitration processes, legal disputes, court decisions, and interpretations of religious texts or the doctrines of specific religious groups, sometimes with contrasting perspectives.",0.05120849609375
0,1997,"Terms and references to telecommunication and mobile devices, including global identification numbers, phone numbers, and services are discussed.",0.13095703125
0,13480,"Activation appears to be triggered by contexts related to service access. This includes mentions of programs, utilities, software and applications, particularly their diagnostics, and ways to handle their installations, unzipping, configuration, backups, or transfer. There's an emphasis on data transfer, security, access keys, and other related features such as unlimited bandwidth or storage for shared hosting accounts.",0.10367431640625
0,10609,"Recurring situations involving a need for some kind of protective measure, like a structure, device, or action to prevent potential dangers or calamities, are referenced. These dangerous circumstances include shipwrecks, attacks, and rebellions, causing harm and resulting in the loss of life or property.",0.07989501953125
0,9782,"The neuron activates in response to text that focuses on products or services often associated with gatherings and events. It is activated by a variety of instances, including discussions about guns at a show, the sale of items at a venue, the production of food items, such as the flour, and also items like flower crowns, and football drafts. Furthermore, there are details about the locations, marketing, and the overall context of the event or product. The activation specifically occurs near words that describe the type, details, and context of these products or events.",1.02255859375
0,3016,"Merchandise for sale that includes a link to the product, frequently as gift ideas, often related to outdoors or travel, and mentioning prices, or accessories; it also mentions product specifications with some marketing and promotional language",0.5369140625
0,8039,"The common thread is a sense of added substances and enhancement, like a specific ingredient or treatment to a product, dish or activity, that is implied to add value. This includes a spa product, an approach to medical practice, an engineering process, or a food item.",0.09466552734375
0,7181,"Focusing on the presence of geometric shapes, such as cubes, faces, and angles, and also with words associated with surfaces, edges, or boundaries. Moreover, the activation also depends on words associated with measurements or properties like ""unit"" or ""smooth"". The context involves concepts like integrals, and the unit normal of a cube's face, or the faces' x,y components. Also the concept is linked to a mathematical formulation.",0.0921630859375
0,5359,"Instances of legal or legislative action, academic research, and narratives featuring detectives or historical contexts that center around issues related to land rights, economic analysis, and fictional detective cases, with a recurring focus on specific individuals, legal concepts, scientific findings, and mysterious plots.",0.082763671875
0,10095,"Recurring pledges of commitment or agreements that involve multiple parties or groups, which often encompass financial contributions, adherence to rules, and potential consequences such as voting, charitable donations, attending meetings, or the ability to resign.",0.934765625
0,823,Financial and game-related content that describes items and products.,0.10379638671875
0,7117,"The neuron activates in response to text that includes a depiction of a person, product or concept in a positive and idealized light. This can be seen in texts describing the condition and authenticity of an item, a product launch with appealing features, a photo of a person with positive comments, or advice regarding fitness and self-improvement with emphasis on positive outcomes.",0.66904296875
0,2395,"Instances of organizations, entities, or concepts that relate to acts of governance, legal disputes, financial transactions, and brewing activities are mentioned consistently. Events of legal rights, government actions, and court proceedings are present, along with economic issues, currency exchange, and tax implementations. The occurrences of specific brewing techniques, beer names, and brewery collaborations show up as well.",0.09190673828125
0,3887,"A focus on intellectual property, visual works, and financial transactions. This includes items such as image licensing, usage terms, and the commercial implications of using visual assets, encompassing aspects of copyright, revenue generation, and the rights associated with the creation, distribution, and display of visual material, along with financial considerations related to pricing, sales, and services",0.1805908203125
20,10765,"The activation of the feature is prompted by content that contains the appearance of a person's name or a name's reference within a text, in a context of movie projects, filming, or casting, and may or may not be accompanied by the title of a project or media production. The person's name appears along with other names of people or projects related to filming, and the description may contain elements such as office, filming location, or era.",1.3630859375
20,12784,"Medical examinations, clinical settings, or medical testing procedures, often involving a laboratory, diagnostic facilities, and medical professionals, with frequent mentions of specimen collection, testing facilities such as labs and clinics, and results being communicated to medical staff and the patient, frequently involving a hospital or medical testing establishment and their associated procedures",1.998046875
