model,layer,unit,desc_id_1,desc_id_2,desc_id_3,desc_id_4,desc_id_5,description_1,description_2,description_3,description_4,description_5,auc_1,mad_1,p_1,auc_2,mad_2,p_2,auc_3,mad_3,p_3,auc_4,mad_4,p_4,auc_5,mad_5,p_5,sim_12,sim_13,sim_14,sim_15,sim_23,sim_24,sim_25,sim_34,sim_35,sim_45,mean_similarity,min_similarity,max_similarity,std_similarity
Llama-3.1-8B-Instruct,0,823,Llama-3.1-8B-Instruct_L0_U823_D1,Llama-3.1-8B-Instruct_L0_U823_D2,Llama-3.1-8B-Instruct_L0_U823_D3,Llama-3.1-8B-Instruct_L0_U823_D4,Llama-3.1-8B-Instruct_L0_U823_D5,"Discussions of transportation, locations, relocation, real estate, and employment/jobs","Methods, approaches, or activities that enable individuals to achieve desired objectives or improvements related to personal or professional situations","Activities and events, often with food, locations, or time references","Locations, people, and events related to safety and returning","A description of a product or service related to home improvement, often involving a specific material or feature, and occasionally mentioning a location or brand",0.9276,1.7482515916744124,3.19255106288193e-06,0.924,1.5126549757814045,3.859552115753656e-06,0.885,1.2742430361682164,2.741837351827129e-05,0.8766,1.3361242341745525,4.088917092053875e-05,0.8126,1.114919386629031,0.0006613094658388,0.4380466080876234,0.5038113293760231,0.5312415044759816,0.46114871137447966,0.443253911345734,0.41046703929102246,0.3892465365831239,0.5029323693594528,0.4825609347151629,0.38935400374484297,0.4552062948353447,0.3892465365831239,0.5312415044759816,0.04725600339865654
Llama-3.1-8B-Instruct,0,1997,Llama-3.1-8B-Instruct_L0_U1997_D1,Llama-3.1-8B-Instruct_L0_U1997_D2,Llama-3.1-8B-Instruct_L0_U1997_D3,Llama-3.1-8B-Instruct_L0_U1997_D4,Llama-3.1-8B-Instruct_L0_U1997_D5,"Accomplishments, resources, and development opportunities in business, technology, and government sectors","Proper nouns related to people, places, organizations, and events","Products or items, often described with specific attributes like materials, brands, or styles","Products or services, often with associated locations, sizes, or quantities","Second person perspective related to encouragement, doing, or refraining from doing something",0.9983,6.258576387656727,5.68992822176874e-08,0.9915,4.809209954363201,8.593696940695784e-08,0.9907,4.3013845026453685,9.017690101350517e-08,0.9835,3.674147488042086,1.3864106879928018e-07,0.9792,3.0394939348130956,1.7873702400367636e-07,0.38990296095320476,0.33925829295764665,0.4077319557826553,0.24719783680451934,0.5004124045372009,0.5327683091163635,0.3463852107524872,0.7403111767397961,0.3230999323010548,0.3112440334267599,0.4138312113371688,0.24719783680451934,0.7403111767397961,0.13618895875361323
Llama-3.1-8B-Instruct,0,2395,Llama-3.1-8B-Instruct_L0_U2395_D1,Llama-3.1-8B-Instruct_L0_U2395_D2,Llama-3.1-8B-Instruct_L0_U2395_D3,Llama-3.1-8B-Instruct_L0_U2395_D4,Llama-3.1-8B-Instruct_L0_U2395_D5,"Events, projects, or initiatives and their associated details such as locations, dates, times, or descriptions","Oaths, love, pledges, events, diets, locations, medical procedures, faith, teaching, spiritual experiences","Discussions of product or service quality, sometimes with a focus on customer satisfaction or specific client needs","Professional services in diverse sectors, often involving legal, technological, or specialized expertise","Products or services, especially customized or bespoke ones",1.0,4.577533675274222,5.1283388415865974e-08,0.9997,4.064661792214446,5.2233768642952676e-08,0.9987,3.3198806302877277,5.5526585495567023e-08,0.9973,2.9625433779069223,6.047644888048207e-08,0.7443000000000001,1.2397882062164352,0.007790223288563,0.4599683880805969,0.34117746353149414,0.2738872468471527,0.33019423484802246,0.3763704299926758,0.3215758800506592,0.36797839403152466,0.4918042719364166,0.6212213039398193,0.5708428621292114,0.4155020475387573,0.2738872468471527,0.6212213039398193,0.10941603655924895
Llama-3.1-8B-Instruct,0,3016,Llama-3.1-8B-Instruct_L0_U3016_D1,Llama-3.1-8B-Instruct_L0_U3016_D2,Llama-3.1-8B-Instruct_L0_U3016_D3,Llama-3.1-8B-Instruct_L0_U3016_D4,Llama-3.1-8B-Instruct_L0_U3016_D5,"Discussions about products, services, or events, where there is an emphasis on personal thoughts, experiences, or opinions related to their quality, impact, or relevance","Functionality, status, or characteristics of electronic devices, sometimes including identification, location, updates, or cost","Small consumable or usable products, often described with brand names, in contexts related to their utility or application","Years, locations, and events or initiatives related to improving lives or situations","The ability, quality, or worth of something, often related to tenure, activities, remarks, or plans, and sometimes contrasted with alternative options",0.2455,-0.7319400683170354,0.0055686523354329,0.2061,-0.8846378643311498,0.0013675873802193,0.1112999999999999,-1.2109411467728408,2.2934337482864253e-05,0.0645,-1.7278508731672184,2.0944096680559136e-06,0.0572,-1.7322443961463376,1.4097173918292526e-06,0.4465027451515198,0.523891298538966,0.509621947430257,0.5298129004351565,0.4966353478053014,0.4190488207907195,0.5419717704074529,0.38098402250003816,0.4796371484235382,0.4888902319800612,0.481699623346301,0.38098402250003816,0.5419717704074529,0.04908566272465872
Llama-3.1-8B-Instruct,0,3887,Llama-3.1-8B-Instruct_L0_U3887_D1,Llama-3.1-8B-Instruct_L0_U3887_D2,Llama-3.1-8B-Instruct_L0_U3887_D3,Llama-3.1-8B-Instruct_L0_U3887_D4,Llama-3.1-8B-Instruct_L0_U3887_D5,"Titles, names, locations, and numbers related to entertainment, products, or events","Books, book boxes, clothing items, locations, tools, or treatments","Creative works, entertainment, life events, software features, and personal reflections","Middle Eastern or Iraqi news, business, energy, politics, or security, company information including organization, departments, production, and markets, software or operating systems, educational programs or institutions, healthcare and medical procedures or financing, concentrated solar power (CSP) or other energy technologies, construction projects, or photography exhibitions or galleries","Business, financial, technological services, or digital content related to regulations, compliance, intellectual property, and/or security",0.5945,0.3080046349363008,0.3034778570087925,0.3991,-0.2082219366163091,0.2718858915838329,0.2522999999999999,-0.6771799270403558,0.0069742559634814,0.2289,-0.7701281244436671,0.0031469496275474,0.1204,-1.261014610668474,3.548291678012974e-05,0.5075391682249062,0.5431523484931099,0.4349045883090673,0.440346820364798,0.4697597622871399,0.3720296025276184,0.3549461364746094,0.4574286937713623,0.4358549416065216,0.5203905701637268,0.453635263222286,0.3549461364746094,0.5431523484931099,0.057351711786884085
Llama-3.1-8B-Instruct,0,5359,Llama-3.1-8B-Instruct_L0_U5359_D1,Llama-3.1-8B-Instruct_L0_U5359_D2,Llama-3.1-8B-Instruct_L0_U5359_D3,Llama-3.1-8B-Instruct_L0_U5359_D4,Llama-3.1-8B-Instruct_L0_U5359_D5,"Locations or individuals associated with residential properties, universities, geographic regions, historical sites, solar flares, language models, temples, and video games","Themes of a person's occupation, a negative action, or a political entity","Questions about various topics, often related to cost, effectiveness, or proper usage, and often including conditional clauses or the word ""if""",Attributes of footwear or tools and home improvement ideas,"Concepts related to specifications or requirements, especially in contexts of quality, legality, logic, or risk, including processes related to efficiency, compliance, and improvement",0.1126,-1.191915145532592,2.442375193678229e-05,0.1002,-1.5259345976878202,1.329733928041263e-05,0.0455,-1.8799947973667075,7.379752621842835e-07,0.0432,-2.4895944592408417,6.486086211420512e-07,0.0396,-1.9226740328757217,5.293082088920167e-07,0.45113757252693176,0.3563181545544777,0.42576488852500916,0.3020956010250928,0.42738473848195513,0.4167930483818054,0.4235716588369508,0.4141153446367185,0.5470525622367859,0.39012135237817036,0.4154354921583897,0.3020956010250928,0.5470525622367859,0.059915400151011496
Llama-3.1-8B-Instruct,0,5716,Llama-3.1-8B-Instruct_L0_U5716_D1,Llama-3.1-8B-Instruct_L0_U5716_D2,Llama-3.1-8B-Instruct_L0_U5716_D3,Llama-3.1-8B-Instruct_L0_U5716_D4,Llama-3.1-8B-Instruct_L0_U5716_D5,"Conditional acceptance, approval, or affirmation, often concerning life decisions, personal preferences, or relationships","Discussions of controversial topics or events involving business, film, television, music, politics, sports, or social media","Professional services, including VPNs, education, home improvement, local businesses, environmental consulting, dental care, franchising, climate change information, rope access training, pharmacy, and customer service","Experiences related to food, drinks, or products, often with a positive connotation, sometimes relating to a specific location or brand","Products or features that improve quality of life, convenience, or user experience, especially related to technology, home appliances, outdoor gear, and health",0.7952,0.971866389115081,0.0013018619492635,0.7339,0.6104013695523135,0.0108428142283934,0.6587000000000001,0.3649431481844575,0.0839087894287657,0.5811,0.2119335200140722,0.3772281854500174,0.5271,0.0309832259768636,0.768221933641269,0.38899165391921997,0.2669370472431183,0.47265931800957506,0.4007357954978943,0.42143335938453674,0.43284043269398487,0.39705246686935425,0.31191696595650764,0.48536738753318787,0.5692149739989633,0.41471494011063414,0.2669370472431183,0.5692149739989633,0.08134374369025534
Llama-3.1-8B-Instruct,0,6179,Llama-3.1-8B-Instruct_L0_U6179_D1,Llama-3.1-8B-Instruct_L0_U6179_D2,Llama-3.1-8B-Instruct_L0_U6179_D3,Llama-3.1-8B-Instruct_L0_U6179_D4,Llama-3.1-8B-Instruct_L0_U6179_D5,"Artistic performances, maritime safety, renewable energy, medical professions, rope access, organizational leadership, real estate sector, and geographic locations","Programming languages (especially JVM-based languages like Java, Kotlin and Scala), software tools/environments (like Docker or software for editing games), customization of software and products (like website themes, game cheats, or user interfaces), legal terms and conditions (especially regarding websites), and filesystems and backups (particularly in the context of mail servers)","Features of vehicles, electronic devices, or locations, especially when described as high-quality, unique, convenient, or powerful","Color, dialog, language translation, biography, state history, Amazon Prime Reading, memory improvement, music, Twine files, card game mechanics, Minecraft gameplay, theater date, childbirth, makeup palette, art, mobile app development, museum visit, and dialectical behavior therapy","Discussions of locations, events, and people, often with a temporal aspect like dates or time periods",0.7434,0.6254311757814551,0.0080200670339593,0.3242,-0.2293748947033292,0.0555253496403972,0.2631,-0.7780403283051216,0.009868355411404,0.1168,-1.134912444333617,2.9890092790988614e-05,0.0849,-1.5421211503445813,6.130357133499786e-06,0.36427968740463257,0.4333101511001587,0.4195736175648458,0.30640411376953125,0.3941570520401001,0.5175394570094187,0.3914183974266052,0.4179068928333193,0.41593053936958313,0.4571845965738477,0.41177045050920424,0.30640411376953125,0.5175394570094187,0.05283106391952931
Llama-3.1-8B-Instruct,0,7117,Llama-3.1-8B-Instruct_L0_U7117_D1,Llama-3.1-8B-Instruct_L0_U7117_D2,Llama-3.1-8B-Instruct_L0_U7117_D3,Llama-3.1-8B-Instruct_L0_U7117_D4,Llama-3.1-8B-Instruct_L0_U7117_D5,"Career changes, new jobs, or career advancements, often with a focus on the digital space","Software and hardware drivers, video game descriptions, mobile phone specifications, and educational/training materials","Sports injuries, game outcomes, and player careers","Locations, weights, and family members related to childbirth, restaurant menus with food items, prices, and locations, details of entertainment events including artists, ticket prices, and venues, travel destinations with lodging and costs, obituaries listing family, locations, and services, company performance in terms of revenue and investments, and summit information including location, dates, and activities",Modal auxiliaries followed by desirable attributes relating to an entity or event,0.9305,1.607596337490269,2.73711374801689e-06,0.9249,1.557859703230563,3.6812681927536713e-06,0.9029,1.3755817458350144,1.139109996356554e-05,0.7755,0.7380643727875289,0.0026914448030505,0.7444000000000001,0.6546084384878583,0.0077650529188289,0.39708030223846436,0.37897008657455444,0.3285273117704808,0.31843793392181396,0.345744252204895,0.41934729103164203,0.30099019408226013,0.3480647296866941,0.2834298610687256,0.29109455400141804,0.34116865165809485,0.2834298610687256,0.41934729103164203,0.043436659022295286
Llama-3.1-8B-Instruct,0,7181,Llama-3.1-8B-Instruct_L0_U7181_D1,Llama-3.1-8B-Instruct_L0_U7181_D2,Llama-3.1-8B-Instruct_L0_U7181_D3,Llama-3.1-8B-Instruct_L0_U7181_D4,Llama-3.1-8B-Instruct_L0_U7181_D5,"Medical conditions, procedures, government agencies and programs related to public health and/or public services","Ownership, locations, and years","Religious buildings, religious figures, religious concepts, legal cases, locations, natural disasters","Locations, tools/equipment, or products related to workplaces or jobs, often related to protective gear or tools","Concepts of inevitability, change, and the future, frequently related to digital minds, technology, or societal shifts",0.8921,1.6020233019380068,1.94367391800201e-05,0.5569000000000001,0.1136654376143758,0.5356770089982614,0.3872,-0.3719032879409691,0.2193055631058136,0.3306,-0.5464697198598681,0.0650351435071189,0.2349,-0.7693088798659959,0.0038814543305672,0.31293442845344543,0.4265652596950531,0.42980615141318723,0.372430995412949,0.44531553983688354,0.4048213476155611,0.29676827230831926,0.44144416553447974,0.4231759997396499,0.3335313001796578,0.3886793460189186,0.29676827230831926,0.44531553983688354,0.05297110382474837
