layer,unit,explanation,AUC,U1,p,MAD
0,8966,"Exposure to the concept of artists or singers, specifically when associated with significant moments or releases",0.5,5000.0,1.0,0.0
0,3358,"The semantic relates to references to an automobile race, or the name of a specific race series and event, with the inclusion of specific terminology related to race cars and the racing circuit",0.55,4500.0,1.6858174400886053e-23,0.0
0,32439,"Vehicles, parts, and associated industries, specifically the industry related to the design, production, and repair of vehicles, including the companies that focus on these activities",1.0,0.0,2.233698981707977e-221,0.0
0,14315,"Visual representation or creation, often detailing a process, a concept, or a specific item, that may include aspects like plans, designs, or art.",0.65,3500.0,2.7026173690302655e-67,0.0
0,259,"The presence of a disease, in some cases specifically affecting the thyroid, colon, or pancreas, and in other instances linked to intestinal issues, and is often presented in contexts of treatment, research, or support.",0.6,4000.0,2.0905161528022447e-45,0.0
0,18124,"Texts that discuss religious texts, particularly focusing on their role in faith, and interpretation, including their historical context, authority, and narrative.",0.8958,1042.0,4.9432985630436184e-60,8.11151305075916
0,5369,Academic achievement or educational pursuits associated with an undergraduate course of study,1.0,0.0,2.233698981707977e-221,0.0
0,2236,"An individual or entity's name, often a person, is followed by some text, and the name is often associated with a business or product.",0.4795,5205.0,0.5146497754465963,-0.19126188615891201
0,13767,"Expression of dissatisfaction or grievance, often relating to perceived mistreatment, unfairness, or substandard service.",0.5,5000.0,1.0,0.0
0,9661,"Competitive entities or groups in different domains, including sports, politics, and business, and the context of their relationships, conflicts, or transactions",0.6,4000.0,2.0905161528022447e-45,0.0
0,10917,Substances or ingredients,0.55,4500.0,1.6858174400886053e-23,0.0
0,2332,"Quantifiable data, and locations where these items are measured or calculated",0.6,4000.0,2.0905161528022447e-45,0.0
0,29332,"Mentions of places, including a city in China and a company location, and also a word that is present in the city's name.",0.453,5470.0,0.3101689428597446,-0.24894563408710066
0,29707,"The financial hierarchy of debt, the ranking of claims, and the potential for a specific type of debt to be treated less favorably in the event of insolvency or bankruptcy, as well as the roles and responsibilities in the context of an organization's internal structure and management.",1.0,0.0,2.233698981707977e-221,0.0
0,28565,References to cities or geographic locations,0.55,4500.0,1.6858174400886053e-23,0.0
0,10233,"Professional roles and services related to refining text, articles, or other written content, where the individuals involved are responsible for reviewing and improving written materials",0.8,2000.0,4.1600657033142315e-133,0.0
0,16192,"Physical presence, particularly representing something or someone or being present at an event",0.55,4500.0,1.6858174400886053e-23,0.0
0,28810,"References to groups of individuals, either in the context of performance, relationships, or shared experiences",0.5,5000.0,1.0,0.0
0,2002,The occurrence of something new or a resurgence of something that already exists!,0.54405,4559.5,0.017927049722119084,0.7572750017090591
5,32177,A continuation of a topic or a series of events; the second part in a sequence,0.474,5260.0,0.46033884353043864,-0.09477775749795178
5,966,"Financial transactions and services, theater productions, educational initiatives, podcast content, and the focus on a campaign for public awareness, all of which aim to address a particular issue, activity, or event, or offer information, resources, or guidance in relation to these topics",0.55,4500.0,1.6858174400886053e-23,0.0
5,28452,"A conviction concerning a specific concept, quality, or process is important to a person or group",0.83005,1699.5,2.8250736530284606e-24,2.07779010309974
5,16512,"Works of art that are adapted or reinterpreted, often in a humorous way, along with details like the source material, the dates of these adaptations, and the theatrical venues where they were performed",0.495,5050.0,0.7531671195040612,-0.09640338135571672
