desc_id,model,layer,unit,desc_idx,description,auc,mad,p_value
gpt2-xl_L0_U440_D1,gpt2-xl,0,440,1,"Parts of footwear, tools or protective gear",0.1022,-1.3884687182496416,1.4684759446254844e-05
gpt2-xl_L0_U440_D2,gpt2-xl,0,440,2,"Apologies, add-ins, testaments, descendants, grades, versions, dialogue, honesty, downgrades, payments, relevance, sensibility, timelessness, credit, superiors, decency, hardened hearts, ageing, genuinely frightened by reality, reliability, shrouded, credited, ironically permitted, gigs, obsession, hugely successful notwithstanding uncertainties",0.0498,-1.8447687951838343,9.378660617961204e-07
gpt2-xl_L0_U440_D3,gpt2-xl,0,440,3,"Themes of remembrance, commemoration, and appreciation, often in relation to important life events or milestones",0.0295,-2.1709093535295763,2.968927062095387e-07
gpt2-xl_L0_U440_D4,gpt2-xl,0,440,4,"Events, occasions, or locations with an emphasis on positive qualities, importance, or memorability",0.0213,-2.6413557734732063,1.8406988920691993e-07
gpt2-xl_L0_U440_D5,gpt2-xl,0,440,5,"Financial transactions, agreements, requirements, commitments, standards, or parameters relating to credit, payments, tenure, employment, or legal processes",0.0202,-3.0423009938867356,1.7253458170022379e-07
gpt2-xl_L0_U1149_D1,gpt2-xl,0,1149,1,"First-person introspection, often related to mental and emotional states, self-awareness, and personal beliefs",0.651,0.52172785235702,0.1000618007603165
gpt2-xl_L0_U1149_D2,gpt2-xl,0,1149,2,"Self-awareness, identity, and reality, often related to technology and its impact on the user",0.4809,-0.257306801963541,0.8355850923566953
gpt2-xl_L0_U1149_D3,gpt2-xl,0,1149,3,"First-person experiences, often involving personal recollections, observations, or opinions, especially related to clothing, accessories, food, or technology",0.4687,-0.1409451113904695,0.7335107475799327
gpt2-xl_L0_U1149_D4,gpt2-xl,0,1149,4,"First-person accounts, often expressing personal opinions, beliefs, or experiences",0.3086,-0.3036312752651763,0.0370965644765442
gpt2-xl_L0_U1149_D5,gpt2-xl,0,1149,5,"First-person perspective related to identification, personal information, and objects",0.06,-1.5946398624351843,1.6420674645788228e-06
gpt2-xl_L0_U1749_D1,gpt2-xl,0,1749,1,"Concepts of perseverance, resilience, and continuing despite setbacks or failures",0.6586000000000001,0.4162457616619316,0.0841041482967249
gpt2-xl_L0_U1749_D2,gpt2-xl,0,1749,2,"Artistic performances, food, travel, products related to leisure and entertainment, ascending locations, life events and personal experiences",0.1892,-0.8786207696108251,0.0007104192041806
gpt2-xl_L0_U1749_D3,gpt2-xl,0,1749,3,"Legal, financial, or leadership accomplishments, advancements, and/or successes",0.0187,-2.241577567770786,1.5792522752465926e-07
gpt2-xl_L0_U1749_D4,gpt2-xl,0,1749,4,"Commercial, financial, or marketing success",0.0137,-2.335624987624253,1.1736994650685417e-07
gpt2-xl_L0_U1749_D5,gpt2-xl,0,1749,5,"Technical specifications or internal states related to electronic devices, software, or computer systems",0.0101,-2.563627550174044,9.461904328935569e-08
gpt2-xl_L0_U2725_D1,gpt2-xl,0,2725,1,"Products, items, or rewards and their availability, desirability, or acquisition",0.9717,2.3010789429166048,2.769659429975617e-07
gpt2-xl_L0_U2725_D2,gpt2-xl,0,2725,2,"Criteria, requirements, or qualifications related to examinations, acceptance, receiving information or items, or suitability",0.9679,2.2459811459532975,3.449276907641849e-07
gpt2-xl_L0_U2725_D3,gpt2-xl,0,2725,3,"Positive outcomes, especially winning or receiving something, related to contests, competitions, or games",0.9419,1.9586432879214828,1.4807171674654984e-06
gpt2-xl_L0_U2725_D4,gpt2-xl,0,2725,4,"Software, music, or computer-related terms in close proximity to a brand, name, or product",0.9234,1.963497382574652,3.982974660457257e-06
gpt2-xl_L0_U2725_D5,gpt2-xl,0,2725,5,"Titles of creative works (movies, musicals, TV shows, books, songs) and the names of people involved in their creation or featuring in them",0.9179,1.6207924654901065,5.305049338802875e-06
