model,layer,unit,weighted_mean_sim,diversity_score,n_eff,sum_weights,max_auc,n_desc_auc_ge_05,has_reliable_desc,median_sim_unweighted,min_sim_unweighted,range_gap_unweighted,n_valid_pairs,redundancy_fraction_unweighted,unweighted_similarity_zscore,baseline_percentile,baseline_mean,baseline_std,exp_confidence_adjusted_diversity,unweighted_mean_sim,unweighted_diversity
Llama-3.1-8B-Instruct,0,823,0.4559407999804221,0.5440592000195779,4.988986836951087,4.4258,0.9276,5,True,0.4522013113601068,0.3892465365831239,0.06295477477698286,10,0.0,1.6446994247830728,94.8,0.38443857045846686,0.0430277552910385,0.5428608374839625,0.4552062948353447,0.5447937051646553
Llama-3.1-8B-Instruct,0,1997,0.4138846087241791,0.5861153912758209,4.999773623866132,4.9432,0.9983,5,True,0.36814408585284597,0.2471978368045193,0.12094624904832668,10,0.0,0.6831088603133255,75.6,0.38443857045846686,0.0430277552910385,0.5860888547685654,0.4138312113371688,0.5861687886628312
Llama-3.1-8B-Instruct,0,2395,0.4089901636330386,0.5910098363669614,4.942940493229082,4.74,1.0,5,True,0.3721744120121002,0.2738872468471527,0.09828716516494751,10,0.0,0.7219404514638977,76.5,0.38443857045846686,0.0430277552910385,0.5842652904149893,0.4155020475387573,0.5844979524612427
Llama-3.1-8B-Instruct,0,3016,0.4817021572963279,0.5182978427036721,3.823837100497787,0.6846,0.2455,0,False,,,,0,,2.2604259095080184,98.6,0.38443857045846686,0.0430277552910385,0.39637730400765353,0.481699623346301,0.518300376653699
Llama-3.1-8B-Instruct,0,3887,0.46800515624437966,0.5319948437556203,3.955899728034995,1.5952000000000002,0.5945,1,True,,,,0,,1.6081873733773626,94.39999999999999,0.38443857045846686,0.0430277552910385,0.42090365154577564,0.453635263222286,0.546364736777714
Llama-3.1-8B-Instruct,0,5359,0.4138170372976462,0.5861829627023538,4.122430446588101,0.3411,0.1126,0,False,,,,0,,0.7203936503371037,76.4,0.38443857045846686,0.0430277552910385,0.48329969854308014,0.4154354921583897,0.5845645078416103
Llama-3.1-8B-Instruct,0,5716,0.4066506705186146,0.5933493294813854,4.892750310681137,3.2960000000000003,0.7952,5,True,0.4110845774412155,0.2669370472431183,0.14414753019809723,10,0.0,0.7036474351817504,76.1,0.38443857045846686,0.0430277552910385,0.5806220232324986,0.4147149401106341,0.585285059889366
Llama-3.1-8B-Instruct,0,6179,0.39861014373271053,0.6013898562672895,3.140122531031671,1.5323999999999998,0.7434,1,True,,,,0,,0.6352151039687124,74.0,0.38443857045846686,0.0430277552910385,0.3776875675197628,0.4117704505092042,0.5882295494907959
Llama-3.1-8B-Instruct,0,7117,0.34450284260874964,0.6554971573912504,4.957433675084663,4.2782,0.9305,5,True,0.3371357819876879,0.2834298610687256,0.05370592091896231,10,0.0,-1.005628076754076,16.2,0.38443857045846686,0.0430277552910385,0.6499167363947311,0.3411686516580948,0.6588313483419053
Llama-3.1-8B-Instruct,0,7181,0.38543657509309737,0.6145634249069026,4.061004856145887,2.4017000000000004,0.8921,2,True,,,,1,0.0,0.09855907034348611,54.2,0.38443857045846686,0.0430277552910385,0.499149010591316,0.3886793460189186,0.6113206539810814
Llama-3.1-8B-Instruct,0,8039,0.34360287325002803,0.656397126749972,4.932530454996819,4.5825,0.9972,5,True,0.31987567245960236,0.2127585113048553,0.10711716115474706,10,0.0,-0.9385412480500442,17.599999999999998,0.38443857045846686,0.0430277552910385,0.6475397636533288,0.3440552473068237,0.6559447526931763
Llama-3.1-8B-Instruct,0,9782,0.34197939914083997,0.65802060085916,3.5395106457999077,2.2513,0.9837,1,True,,,,0,,-1.6280290916148004,5.2,0.38443857045846686,0.0430277552910385,0.46581418437932975,0.3143881330977735,0.6856118669022264
Llama-3.1-8B-Instruct,0,9811,0.426234240398366,0.573765759601634,4.888286947012471,3.5286,0.8339,5,True,0.42698692399280747,0.3127047829207913,0.11428214107201617,10,0.0,0.8934358972697972,80.60000000000001,0.38443857045846686,0.0430277552910385,0.5609463346606726,0.4228811116144211,0.5771188883855789
