layer,unit,method,explanation,AUC,U1,p,MAD
0,440,bic,"Describing the nature, type, or state of entities, along with their qualifications, management, or formal recognition",0.625,3750.0,0.1734214168587261,0.3149596444452117
0,440,bic,"Providing detailed characteristics, exact measurements, specific identities, or precise conditions",0.3939999999999999,6060.0,0.2483801260536271,-0.2938558447834956
0,440,davies_bouldin,"Specifications concerning the timing, frequency, or duration of events, along with qualitative assessments of condition or characteristic properties, administrative and procedural requirements, and precise identification of entities or locations",0.5246999999999999,4753.0,0.7882727513709038,0.1008823122632726
0,440,davies_bouldin,"Identification of specific entities, their precise attributes, defining characteristics, exact measurements, particular components, and explicit temporal or spatial relationships",0.6838,3162.0,0.0452954810166746,0.4676180144828332
0,440,davies_bouldin,"Detailed aspects, conditions, quantities, or specific characteristics of subjects and happenings",0.9254,746.0,3.585661432086684e-06,1.95212196830964
0,440,davies_bouldin,"The detailed aspects, quality, and execution of professional services, business operations, and information or data management",0.9093,907.0,8.24760815337526e-06,1.7962057801187183
0,440,davies_bouldin,"The specific identification of proper nouns, distinct categories, exact numerical values including financial data, precise time and date references, particular services or features, expressions of acknowledgment or importance, and indications of status or participation",0.9474,526.0,1.0950428197769315e-06,2.632718698205213
0,440,davies_bouldin,"Digital technology platforms, their implementation, management, and strategic use in business operations, service delivery, and information exchange",0.8653000000000001,1347.0,6.91222390521984e-05,1.297316163928565
0,440,davies_bouldin,"The attributes of human activity, including personal involvement, organizational roles, and structured procedural details",0.9257,743.0,3.529444979545144e-06,1.7990768031708566
0,440,davies_bouldin,"Categorizing entities, refining qualities, or specifying actions and states",0.9811,189.0,1.5980166337531825e-07,2.2992266053530797
0,440,davies_bouldin,"Particular characteristics, classifications, evaluations, or states of objects, services, and experiences",0.9062,938.0,9.649588245287196e-06,2.1348252007797672
0,440,fixed-k5,"Specific instances, individual attributes, and particular conditions or requirements",0.6504,3496.0,0.1014180901669555,0.4463227053916715
0,440,fixed-k5,"Distinctive identifiers, descriptive characteristics, classifications, and contextual relationships of entities or events",0.5301,4699.0,0.7433762858422748,0.0866313133966173
0,440,fixed-k5,"Specific identifiers including proper names, abbreviations, and classifications; definite quantities, durations, and extents; and particular attributes, states, or roles",0.6787000000000001,3213.0,0.0516142572826907,0.4171048400164617
0,440,fixed-k5,"Descriptions of qualities, attributes, and characteristics of objects, activities, or conditions, encompassing their type, style, comfort, perceived value, degree, or manner of presentation",0.9854,146.0,1.238369363328826e-07,2.4376957450583316
0,440,fixed-k5,"Specific aspects of professional and commercial operations, technical systems, and qualifications, alongside descriptive characteristics of entities or situations, and direct or indirect forms of communication and collaboration",0.4462999999999999,5537.0,0.5588837334941867,-0.0329698318027976
0,440,silhouette,"Specialized domains, professional roles, and academic qualifications, along with structured procedures, the management of specific circumstances, and references to particular entities or formal expressions",0.0353,9647.0,4.144031489783366e-07,-2.1348608053497484
0,440,silhouette,"Concepts conveying specificity, detailed attributes, temporal context, or inherent relationships",0.2514,7486.0,0.0067715267146794,-0.7965022825698704
0,1149,bic,"Referencing specific individuals, locations, or brands, along with explicit quantities, timeframes, intentions, and abstract qualities",0.0446,9554.0,7.016766747137933e-07,-1.2744760036747738
0,1149,bic,"Specific entities, particular numerical values, identifying abbreviations, and distinct descriptive terms for objects or ideas",0.4503,5497.0,0.5885616443495416,-0.220840077358061
0,1149,davies_bouldin,"Signifying core entities, their defining qualities, specific actions, points in time, or open-ended questions",0.9026,974.0,1.1563507127481407e-05,1.497171540525719
0,1149,davies_bouldin,"Naming of particular individuals, locations, organizations, and products; specific time points and periods; and categorization of groups, relationships, and content types",0.5491999999999999,4508.0,0.5923219791768484,-0.0468797645593416
0,1149,davies_bouldin,"Specific referents for entities, locations, and numerical values, combined with their defining characteristics and words initiating contextual details",0.3569,6431.0,0.1191180824507208,-0.4044469368174582
0,1149,davies_bouldin,"Specific designations of entities, products, and technical features, alongside terms that establish discourse context, directly address the user, or indicate conditional situations",0.4487,5513.0,0.5766033066729166,-0.2524420678309356
0,1149,davies_bouldin,"Detailed aspects of items, products, or services, including their characteristics, composition, measurements, identifying labels, or commercial applications",0.3366,6634.0,0.0751335363954471,-0.4561517465362955
0,1149,davies_bouldin,"Specific named entities, product identifiers, numerical and quantitative values, technical components, scientific or medical terminology, and direct references to particular items or concepts",0.5813,4187.0,0.3760520591205932,-0.0220550206108026
0,1149,davies_bouldin,"Framing the inherent attributes, underlying reasons, temporal context, and human or strategic implications of a concept",0.8189,1811.0,0.0005131945231125,0.717849141150112
0,1149,davies_bouldin,"Concrete details, precise figures, specific entities, and definite situations",0.3321,6679.0,0.0674483961447481,-0.4699454365211197
0,1149,davies_bouldin,"References to particular individuals, places, and entities, precise numerical and chronological details, and terms associated with media, entertainment, competitive events, personal perspective, and contextual discourse",0.7799,2201.0,0.0022969607756889,0.4606125036211758
0,1149,davies_bouldin,"Identification of specific named entities, numerical values, precise attributes, or particular conditions and methods",0.371,6290.0,0.1600596953527868,-0.3875302207610537
0,1149,fixed-k5,"Specific named entities, brands, product names, or technical acronyms; essential system components or digital resources; terms framing user interaction, instructions, or contextual self-reference; and numerical or conditional information",0.5748,4252.0,0.415428213097116,-0.0339875812494407
0,1149,fixed-k5,"Elements marking precise quantities, specific individuals, locations, organizations, brands, categories, events, or abstract ideas, also encompassing structural linguistic tokens that denote particular information and significant morphological fragments of such specific terms",0.2624,7376.0,0.0096525281553604,-0.6187004164684433
0,1149,fixed-k5,"Essential grammatical elements, numerical quantities, core descriptive terms, or functional word fragments and symbols",0.3508,6492.0,0.1041745679420984,-0.4500414165065376
0,1149,fixed-k5,"Unique entities, specific types of objects, individuals, or abstract concepts, distinct characteristics, precise identifiers, or key referential terms and actions",0.6787,3213.0,0.0516142572826907,0.4715861503202138
0,1149,fixed-k5,"Particular identifiers for entities, quantities, or time, human cognitive processes, emotions, and agency, the establishment of situational context or inquiry, and concepts of challenges, risks, or significant occurrences",0.6982,3018.0,0.030866954857884,0.4308071479131839
0,1149,silhouette,"Specificity and description of entities, individuals, or concepts; personal engagement, observation, and inquiry about actions, qualities, or temporal instances",0.8522,1478.0,0.0001247663884358,0.9544492844910908
0,1149,silhouette,"Designations of specific entities such as proper names, titles, and categories; exact numerical and temporal values; concrete actions or states; and direct linguistic references to these particular items or events",0.3246,6754.0,0.0560837082892278,-0.4610462473987333
0,1149,silhouette,"Tokens representing specific entities, properties, or numerical values, often encompassing common short grammatical elements or fragments of words, proper nouns, and unique characters",0.3188,6812.0,0.0484302188323583,-0.5484519971615297
0,1149,silhouette,"Specific designations, branded items, technical concepts, or the articulation of precise inquiries and conditional phrases",0.2865,7135.0,0.0200467097928965,-0.5235705546799766
0,1149,silhouette,"Specific features, attributes, and references for items or concepts, including their names, categories, components, materials, dimensions, quantities, conditions, or usage contexts",0.4506,5494.0,0.5908165226403865,-0.287036677749458
0,1149,silhouette,"Designated products, specific models, software versions, and technical systems, including precise numerical values, temporal durations, or biological identifiers",0.5067999999999999,4932.0,0.9413770625999268,-0.1341820394993874
0,1149,silhouette,"Temporal factors and immediacy, human cognitive and emotional states, causation, methodology, and hypothetical situations, distinct entities, brands, and technology, and transformative effects",0.6325000000000001,3675.0,0.1490198377882051,0.2463182718995869
0,1149,silhouette,"Exact numbers, measurements, quantities, and identifiers, specific points or periods in time, designations of places or entities, terms indicating conditions of severe difficulty, harm, or distress, and words expressing existence, absence, or conditional aspects of a statement",0.6446000000000001,3554.0,0.115296140265114,0.3260229434157499
0,1149,silhouette,"Information regarding specific individuals, organizations, places, or media productions, characterized by their names, precise dates, times, numerical data, or defined categories within entertainment and events",0.2414,7586.0,0.00485012180914,-0.6489012444442082
0,1149,silhouette,"Specific proper nouns and acronyms, numerical values and measures of quantity, qualitative descriptions of attributes or intentions, specialized terminology, and interrogative or demonstrative pointers",0.3805,6195.0,0.1931314185434812,-0.3814004006105723
0,1749,bic,"Language describing systematic components, operational processes, organizational roles, and evaluative assessments",0.5695,4305.0,0.4492676597506851,0.2231760960933439
0,1749,bic,"Descriptive elements detailing the inherent nature, composition, function, or current condition of objects and processes",0.9108,892.0,7.641286897119099e-06,1.5780463495121455
0,1749,davies_bouldin,"Business and organizational operations, strategic development, and the pursuit of sustained success and continuous improvement, often involving professional expertise, technological solutions, and financial management",0.5729,4271.0,0.4273826352237948,0.1250803787926691
0,1749,davies_bouldin,"Crafting and designing items, emphasizing their aesthetic qualities, visual styles, and tailored suitability",0.7965,2035.0,0.001239062628624,0.9439161367354458
