layer,unit,description,mean_activation,highlights
20,3885,"Properties and built environments, their design, construction, maintenance, and the services that ensure their quality, safety, comfort, and efficiency",,[]
20,3885,"Specific products, software, or services, their features, functionality, setup, operation, and performance, including discussions of their quality, problems, and solutions",,[]
20,3885,"Food and drink, encompassing their ingredients, preparation methods, nutritional aspects, and contexts of dining, commerce, or facility design",,[]
20,3885,"Specific entities, their characteristics, measurements, and the precise conditions, problems, or solutions described in diverse situations",,[]
20,3885,"Financial and economic management, encompassing personal and corporate monetary flows, investment strategies, insurance, and the assessment of market conditions and regulatory frameworks",,[]
20,3885,"Defining contexts for actions or states of being, including specific methods, initial conditions, inquiries about purpose, and possibilities",,[]
20,3885,"Identifying specific entities like places, individuals, and organizations; marking temporal positions, durations, and sequences; detailing the manner, degree, and characteristics of actions or states; and signifying quantities, purposes, outcomes, and the existence, absence, or limitations of phenomena",,[]
20,3885,"Identifying specific entities or concepts, their structured examination through questions, comparisons, and conditional logic. This involves outlining underlying reasons, temporal stages, and emphasizing critical aspects or instructions",,[]
20,3885,"Meticulous detailing of intrinsic attributes, functional characteristics, or aesthetic qualities; explicit outlining of processes, methods, or chronological progression; assertive expressions of certainty, emphasis, or subjective valuation; and precise identification of particular entities, brands, or components",,[]
20,3885,"Identification of specific named entities like people, locations, organizations, and unique concepts, often combined with explicit numerical or temporal data, and qualified by descriptive words, comparisons, or negations",,[]
