layer,unit,explanation,AUC,U1,p,MAD
0,10698,"Events or activities pertaining to a certain group or organization are frequently mentioned alongside topics related to a country or state that is often described as a republic, political parties, and elections, especially with the use of the term 'Coalition'. It also includes references to individuals such as presidents or heads of state and the concept of sanctions and international relations.",0.7134,2866.0,0.020104971685640103,0.46518355141919204
0,2725,"The presence of the token <eos>, followed by words that are associated with life forms, like creature and animal, or, more broadly, being related to the natural world. Also, the word ""Okay"" and ""Sorry"" trigger the neuron.",0.9828,172.0,1.9605426475377197e-08,4.40512793079406
0,2696,"The presence of the term, primarily the singular, indicates a discussion centered around a particular substance, often within the context of health and nutrition, the different types, and its impact on the human body. The concept is frequently linked to dietary considerations, weight management, and potential health consequences or benefits.",0.5364,4636.0,0.6584704486486337,0.3664933348644184
0,2536,Activities related to performance and presentation,0.66645,3335.5,0.06434410814572922,1.223836655969886
0,12182,Rest from work and religious practices,0.476,5240.0,0.47907868286024324,-0.2236588423831614
0,6600,"Flora or plant life, including various species, with references to their parts like flowers, leaves, and the contexts in which they are grown, maintained, and used, such as gardening, landscaping, and herbal applications, sometimes linked to allergies or sensitivities.",0.9821,179.0,1.4170032871961867e-09,4.576870683944506
0,3740,Anatomical or medical procedures or interventions performed inside a bodily structure or space,0.4203,5797.0,0.3046341053754117,-0.2687972528117557
0,2818,"Company-specific or product acronyms within financial, institutional, or industrial contexts, including those related to certificates, retail, schools, or construction, and also those referring to specific operations such as buying or applications",0.27849999999999997,7215.0,0.00782987277607362,-0.4133122527462879
0,13502,"References to publications, including botanical and academic journals, with mentions of authors, dates, and cataloging systems, and also descriptions of quilting or medical cases that involve specific details, diagnoses, or symptoms",0.3688,6312.0,0.15304805044815553,-0.4667087868742531
0,13988,"The neuron activates in response to the anticipation of positive outcomes or achievements, often in the context of projects or endeavors, such as cooking, dog training, or construction, where the goal is a satisfactory conclusion, and the word 'results' is used to highlight this.",0.9860000000000001,140.0,5.150296549823469e-08,4.854344491069561
0,3681,"Recurring appearances of a specific name, and possibly others that sound alike, are observed, often in contexts that suggest a professional or formal setting; there are also mentions of locations and, in one instance, involvement with legal or medical procedures. There's a notable tendency for these references to appear in conjunction with medical or scientific concepts like plasma treatment or research. Additionally, in some cases, the same name is connected to legal matters.",0.7789,2211.0,0.002380791595380968,0.40121325039206013
0,13183,"Conceptualization of software, hardware, and electronic components, often involving data sheets and related technical information, alongside the concept of disorder and its impact on task execution, alongside the concept of functions and operations, frequently in the context of string manipulation, and also locations for events.",0.591,4090.0,0.3217477535896933,0.05350781889739026
0,4554,"The integration of computational technology to enhance tasks or systems; the application of advanced processing, usually coupled with data analysis, to improve efficiency or gain new capabilities",0.61705,3829.5,0.19132385445500466,-0.07346548594078257
0,14477,"A subject matter related to navigation services, traffic management, and solutions offered by a specific company",0.34715,6528.5,0.06510444755469821,-0.3379313276690341
